state,stateAbbrev,date,time,cases,deaths,tested,AgeUnder 20,Age20-24,Age25-29,Age30-34,Age35-39,Age40-44,Age45-49,Age50-54,Age55-59,Age60-64,Age65-69,Age70-74,Age75-79,Age80+,AgeUnknown,Travel,Contact,No_Known_Contact,Unknown,Male_sex,Female_sex,Unknown*_sex,link,pullTime,Age_fatalityUnder 20,Age_fatality20-29,Age_fatality30-39,Age_fatality40-49,Age_fatality50-59,Age_fatality60-69,Age_fatality70-79,Age_fatality80+
Missouri,MO,April 5,2:00 p.m.,2367,34,27173,56,186,163,159,149,178,199,243,259,230,183,137,87,134,4,102,86,9,2179,1102,1226,39,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,2020-04-05 18:24:08.642318,0,0,1,0,5,6,12,9
Missouri,MO,April 4,2:00 p.m.,2291,24,27173,54,179,158,150,148,174,193,240,252,222,180,129,85,125,2,102,86,9,2103,1073,1181,37,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,2020-04-04 20:10:30.378195
Missouri,MO,April 3,2:00 p.m.,2113,19,24727,53,167,141,144,134,164,179,224,226,203,167,120,75,116,0,83,73,9,1957,1000,1080,33,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,2020-04-03 20:24:52.288553
Missouri,MO,April 2,2:00 p.m.,1834,19,21191,50,154,124,123,113,141,157,191,185,179,144,109,62,101,0,67,58,9,1709,872,935,27,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/cases-by-age.php,2020-04-02 20:26:38.302786
Missouri,MO,April 1,2:00 p.m.,1581,18,17427,47,139,106,101,103,120,137,172,163,152,114,93,47,87,0,57,49,9,1475,747,813,21,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/cases-by-age.php,2020-04-01 20:08:41.273206
Missouri,MO,March 31,2:00 p.m.,1327,14,15645,43,124,88,82,88,98,119,141,147,125,87,74,40,71,0,44,37,9,1246,623,686,18,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/cases-by-age.php,2020-03-31 20:09:36.571202
Missouri,MO,March 29,3:00 p.m.,903,12,14107,26,91,74,65,69,71,65,104,91,85,47,45,29,40,1,42,25,9,827,435,459,9,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,2020-03-29 16:54:16.303020
Missouri,MO,March 28,2:00 p.m.,838,10,12385,21,89,66,60,64,67,59,95,85,79,43,43,29,38,0,42,25,9,762,406,423,9,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,2020-03-29 12:33:48.028923
Missouri,MO,April 16,2:00 p.m.,5111,152,51545,122,324,347,325,319,376,444,499,531,504,397,288,220,411,4,nan,nan,nan,nan,2308,2740,63,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,2020-04-16 18:20:30.283977,0,0,3,4,15,32,42,56
Missouri,MO,April 17,2:00 p.m.,5283,165,53525,129,332,356,337,337,386,457,507,545,520,409,297,228,439,4,nan,nan,nan,nan,2378,2837,68,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,2020-04-17 20:04:40.389852,0,0,3,5,15,36,42,64
Missouri,MO,April 18,2:00 p.m.,5517,175,53525,132,344,377,351,350,395,472,526,562,544,420,322,241,476,5,nan,nan,nan,nan,2493,2956,68,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,2020-04-18 20:11:48.304026,0,0,3,5,16,38,47,66
Missouri,MO,April 19,2:00 p.m.,5667,176,55873,135,348,391,363,367,405,484,528,577,553,427,327,256,496,10,nan,nan,nan,nan,2547,3050,70,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,2020-04-19 20:25:15.948080,0,0,3,5,16,38,48,66
Missouri,MO,April 20,2:00 p.m.,5807,177,56986,141,351,398,370,373,419,498,542,589,564,439,331,268,518,6,nan,nan,nan,nan,2620,3114,73,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,2020-04-20 20:21:57.912978,0,0,3,5,16,38,48,67
Missouri,MO,April 21,2:00 p.m.,5941,189,56986,150,356,406,379,384,424,507,554,602,564,444,342,276,536,7,nan,nan,nan,nan,2674,3197,70,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,2020-04-21 20:09:38.434770,0,0,3,5,17,41,49,74
Missouri,MO,April 22,2:00 p.m.,6137,208,59266,155,365,414,389,402,431,528,567,619,597,458,355,284,565,8,nan,nan,nan,nan,2760,3305,72,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,2020-04-22 20:23:30.819662,0,0,3,5,21,43,54,82
Missouri,MO,April 23,2:00 p.m.,6321,218,59266,164,376,437,400,411,443,541,586,632,612,469,362,294,584,10,nan,nan,nan,nan,2839,3412,70,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,2020-04-23 20:21:12.094421,0,0,3,5,21,46,58,85
Missouri,MO,April 24,2:00 p.m.,6625,262,67017,173,393,464,420,428,463,564,614,653,640,481,378,309,635,10,nan,nan,nan,nan,2967,3588,70,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,2020-04-24 18:21:40.831446,0,0,3,6,27,56,70,100
Missouri,MO,April 25,2:00 p.m.,6826,273,69748,180,398,471,426,437,481,582,628,672,660,492,396,320,674,9,nan,nan,nan,nan,3065,3692,69,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,2020-04-25 19:10:57.770822,0,1,3,6,27,58,71,107
Missouri,MO,April 26,2:00 p.m.,6997,274,70932,185,406,481,436,451,491,599,644,685,674,506,403,329,698,9,nan,nan,nan,nan,3150,3777,70,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,2020-04-26 20:03:34.574651,0,1,3,6,27,58,71,108
Missouri,MO,April 27,2:00 p.m.,7171,288,73371,194,414,494,450,454,496,609,654,700,686,514,416,338,743,9,nan,nan,nan,nan,3227,3876,68,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,2020-04-27 20:43:57.883606,0,1,3,6,27,60,72,119
Missouri,MO,April 28,2:00 p.m.,7303,314,73371,197,419,502,461,460,503,622,666,713,697,524,421,344,764,10,nan,nan,nan,nan,3289,3953,61,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,2020-04-28 20:39:17.321680,0,1,3,7,27,63,81,132
Missouri,MO,April 29,2:00 p.m.,7425,318,77037,202,429,512,470,467,510,635,671,725,701,536,427,348,781,11,nan,nan,nan,nan,3340,4037,48,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,2020-04-29 19:58:38.233644,0,1,3,7,28,63,82,134
Missouri,MO,May 1,2:00 p.m.,7835,337,82152,219,456,540,512,496,531,667,699,759,732,562,439,361,853,9,nan,nan,nan,nan,3540,4250,45,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,2020-05-01 19:07:09.881109,0,1,3,7,28,67,87,144
Missouri,MO,May 2,2:10 p.m.,8154,351,82152,230,470,556,532,513,557,691,724,787,760,592,460,367,907,8,nan,nan,nan,nan,3704,4408,42,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,2020-05-02 20:33:54.349353,0,1,3,7,28,71,88,153
May 2,2:10 p.m.,Adair,Cass,Franklin(2),Greene,Jackson(2),Jefferson,Moniteau,Pemiscot,Platte,Scott,St. Charles(9),St. LouisCity(12),St. LouisCounty(46)
Missouri,MO,May 3,2:00 p.m.,8386,352,91083,241,484,569,552,530,573,703,742,813,785,604,475,376,931,8,nan,nan,nan,nan,3824,4515,47,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,2020-05-03 20:33:23.874831,0,1,3,7,28,72,88,153
May 3,2:00 p.m.,Adair,Cass,Franklin(2),Greene,Jackson(2),Jefferson,Moniteau,Pemiscot,Platte,Scott,St. Charles(9),St. LouisCity(12),St. LouisCounty(46)
Missouri,MO,May 4,2:00 p.m.,8754,358,94904,256,509,596,589,570,602,735,774,848,817,621,489,385,952,11,nan,nan,nan,nan,4003,4688,63,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,2020-05-04 19:46:11.487499,0,1,3,8,28,72,90,156
May 4,2:00 p.m.,Adair,Cass,Franklin(2),Greene,Jackson(2),Jefferson,Moniteau,Pemiscot,Platte,Scott,St. Charles(9),St. LouisCity(12),St. LouisCounty(46)
Missouri,MO,May 5,2:00 p.m.,8916,377,100747,263,520,614,605,584,619,748,782,856,825,633,495,391,971,10,nan,nan,nan,nan,4078,4770,68,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,2020-05-05 19:18:43.929179,0,1,3,8,28,75,98,164
May 5,2:00 p.m.,Adair,Cass,Franklin(2),Greene,Jackson(2),Jefferson,Moniteau,Pemiscot,Platte,Scott,St. Charles(9),St. LouisCity(12),St. LouisCounty(46)
Missouri,MO,May 6,2:00 p.m.,9102,396,103622,277,529,619,621,590,635,765,796,875,846,645,513,394,989,8,nan,nan,nan,nan,4160,4869,73,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,2020-05-06 20:16:50.449970,0,1,3,9,33,76,103,171
May 6,2:00 p.m.,Adair,Cass,Franklin(2),Greene,Jackson(2),Jefferson,Moniteau,Pemiscot,Platte,Scott,St. Charles(9),St. LouisCity(12),St. LouisCounty(46)
Missouri,MO,May 7,2:00 p.m.,9341,417,108721,285,542,639,634,603,649,776,809,891,858,670,527,410,1040,8,nan,nan,nan,nan,4251,5022,68,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,2020-05-07 20:56:14.940984,0,1,3,10,35,76,107,186
May 7,2:00 p.m.,Adair,Cass,Franklin(2),Greene,Jackson(2),Jefferson,Moniteau,Pemiscot,Platte,Scott,St. Charles(9),St. LouisCity(12),St. LouisCounty(46)
Missouri,MO,May 8,2:00 p.m.,9489,449,108721,289,553,650,645,618,662,786,816,896,871,677,533,420,1066,7,nan,nan,nan,nan,4315,5109,65,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,2020-05-08 22:05:00.143895,0,1,3,9,35,79,116,206
May 8,2:00 p.m.,Adair,Cass,Clay,Green,Lafayette,Lawrence,Moniteau,Pemiscot,Platt,Scott,Franklin(2),Jackson(2),Jefferson(2),St. Charles(9),St. LouisCity(11),St. LouisCounty(46)
Missouri,MO,May 9,2:00 p.m.,9666,472,115546,304,566,663,664,638,683,797,823,912,878,687,539,424,1080,8,nan,nan,nan,nan,4403,5199,64,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,2020-05-09 21:18:29.044219,0,1,3,9,37,82,121,219
May 9,2:00 p.m.,Adair,Cass,Clay,Green,Lafayette,Lawrence,Moniteau,Pemiscot,Platt,Scott,Franklin(2),Jackson(2),Jefferson(2),St. Charles(9),St. LouisCity(11),St. LouisCounty(46)
Missouri,MO,May 10,2:00 p.m.,9844,482,115546,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4403,5199,64,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,2020-05-09 21:18:29.044219,0,1,3,9,37,82,121,219
May 10,2:00 p.m. nan
