state,stateAbbrev,date,time,cases,deaths,tested,AgeUnder 20,Age20-24,Age25-29,Age30-34,Age35-39,Age40-44,Age45-49,Age50-54,Age55-59,Age60-64,Age65-69,Age70-74,Age75-79,Age80+,AgeUnknown,Travel,Contact,No_Known_Contact,Unknown,Male_sex,Female_sex,Unknown*_sex,link,pullTime,Age_fatalityUnder 20,Age_fatality20-29,Age_fatality30-39,Age_fatality40-49,Age_fatality50-59,Age_fatality60-69,Age_fatality70-79,Age_fatality80+
Missouri,MO,29-Apr,2:00 p.m.,7425,318,77037,202,429,512,470,467,510,635,671,725,701,536,427,348,781,11,nan,nan,nan,nan,3340,4037,48,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,58:38.2,0,1,3,7,28,63,82,134
Missouri,MO,1-May,2:00 p.m.,7835,337,82152,219,456,540,512,496,531,667,699,759,732,562,439,361,853,9,nan,nan,nan,nan,3540,4250,45,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,07:09.9,0,1,3,7,28,67,87,144
Missouri,MO,2-May,2:10 p.m.,8154,351,82152,230,470,556,532,513,557,691,724,787,760,592,460,367,907,8,nan,nan,nan,nan,3704,4408,42,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,33:54.3,0,1,3,7,28,71,88,153
2-May,2:10 p.m.,Adair,Cass,Franklin(2),Greene,Jackson(2),Jefferson,Moniteau,Pemiscot,Platte,Scott,St. Charles(9),St. LouisCity(12),St. LouisCounty(46),,,,,,,,,,,,,,,,,,,,,,,,
Missouri,MO,3-May,2:00 p.m.,8386,352,91083,241,484,569,552,530,573,703,742,813,785,604,475,376,931,8,nan,nan,nan,nan,3824,4515,47,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,33:23.9,0,1,3,7,28,72,88,153
3-May,2:00 p.m.,Adair,Cass,Franklin(2),Greene,Jackson(2),Jefferson,Moniteau,Pemiscot,Platte,Scott,St. Charles(9),St. LouisCity(12),St. LouisCounty(46),,,,,,,,,,,,,,,,,,,,,,,,
Missouri,MO,4-May,2:00 p.m.,8754,358,94904,256,509,596,589,570,602,735,774,848,817,621,489,385,952,11,nan,nan,nan,nan,4003,4688,63,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,46:11.5,0,1,3,8,28,72,90,156
4-May,2:00 p.m.,Adair,Cass,Franklin(2),Greene,Jackson(2),Jefferson,Moniteau,Pemiscot,Platte,Scott,St. Charles(9),St. LouisCity(12),St. LouisCounty(46),,,,,,,,,,,,,,,,,,,,,,,,
Missouri,MO,5-May,2:00 p.m.,8916,377,100747,263,520,614,605,584,619,748,782,856,825,633,495,391,971,10,nan,nan,nan,nan,4078,4770,68,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,18:43.9,0,1,3,8,28,75,98,164
5-May,2:00 p.m.,Adair,Cass,Franklin(2),Greene,Jackson(2),Jefferson,Moniteau,Pemiscot,Platte,Scott,St. Charles(9),St. LouisCity(12),St. LouisCounty(46),,,,,,,,,,,,,,,,,,,,,,,,
Missouri,MO,6-May,2:00 p.m.,9102,396,103622,277,529,619,621,590,635,765,796,875,846,645,513,394,989,8,nan,nan,nan,nan,4160,4869,73,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,16:50.4,0,1,3,9,33,76,103,171
6-May,2:00 p.m.,Adair,Cass,Franklin(2),Greene,Jackson(2),Jefferson,Moniteau,Pemiscot,Platte,Scott,St. Charles(9),St. LouisCity(12),St. LouisCounty(46),,,,,,,,,,,,,,,,,,,,,,,,
Missouri,MO,7-May,2:00 p.m.,9341,417,108721,285,542,639,634,603,649,776,809,891,858,670,527,410,1040,8,nan,nan,nan,nan,4251,5022,68,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,56:14.9,0,1,3,10,35,76,107,186
7-May,2:00 p.m.,Adair,Cass,Franklin(2),Greene,Jackson(2),Jefferson,Moniteau,Pemiscot,Platte,Scott,St. Charles(9),St. LouisCity(12),St. LouisCounty(46),,,,,,,,,,,,,,,,,,,,,,,,
Missouri,MO,8-May,2:00 p.m.,9489,449,108721,289,553,650,645,618,662,786,816,896,871,677,533,420,1066,7,nan,nan,nan,nan,4315,5109,65,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,05:00.1,0,1,3,9,35,79,116,206
8-May,2:00 p.m.,Adair,Cass,Clay,Green,Lafayette,Lawrence,Moniteau,Pemiscot,Platt,Scott,Franklin(2),Jackson(2),Jefferson(2),St. Charles(9),St. LouisCity(11),St. LouisCounty(46),,,,,,,,,,,,,,,,,,,,,
Missouri,MO,10-May,2:00 p.m.,9844,482,115546,315,580,672,675,652,693,807,843,926,890,692,556,430,1104,9,nan,nan,nan,nan,4479,5302,63,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,06:10.7,0,1,3,9,37,85,122,225
10-May,2:00 p.m.,Adair,Cass,Clay,Green,Lafayette,Lawrence,Moniteau,Pemiscot,Platt,Scott,Franklin(2),Jackson(2),Jefferson(2),St. Charles(9),St. LouisCity(11),St. LouisCounty(46),,,,,,,,,,,,,,,,,,,,,
Missouri,MO,11-May,2:00 p.m.,9918,488,121296,318,584,682,680,661,702,812,846,932,894,692,559,433,1115,8,nan,nan,nan,nan,4506,5348,64,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,50:24.8,0,1,3,9,37,86,122,230
11-May,2:00 p.m.,Adair,Cass,Clay,Green,Lafayette,Lawrence,Moniteau,Pemiscot,Platt,Scott,Franklin(2),Jackson(2),Jefferson(2),St. Charles(9),St. LouisCity(11),St. LouisCounty(46),,,,,,,,,,,,,,,,,,,,,
Missouri,MO,May 12,2:00 p.m.,10006,524,124006,322,593,688,689,669,710,817,857,939,897,696,559,437,1124,9,nan,nan,nan,nan,4550,5393,63,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,2020-05-12 20:16:13.617285,0,1,3,9,41,89,132,249
May 12,2:00 p.m.,Adair,Cass,Clay,Green,Lafayette,Lawrence,Moniteau,Pemiscot,Platt,Scott,Franklin(2),Jackson(2),Jefferson(2),St. Charles(9),St. LouisCity(11),St. LouisCounty(46)
Missouri,MO,May 13,2:00 p.m.,10142,542,126935,331,597,695,693,678,720,828,865,945,911,708,570,444,1148,9,nan,nan,nan,nan,4610,5468,64,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,2020-05-13 20:07:59.113693,0,1,3,11,42,93,138,254
May 13,2:00 p.m.,Adair,Cass,Clay,Green,Lafayette,Lawrence,Moniteau,Pemiscot,Platt,Scott,Franklin(2),Jackson(2),Jefferson(2),St. Charles(9),St. LouisCity(11),St. LouisCounty(46)
Missouri,MO,May 14,2:00 p.m.,10317,562,126935,334,610,713,702,691,732,842,884,965,917,712,578,450,1178,9,nan,nan,nan,nan,4685,5566,66,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,2020-05-14 21:04:16.651000,0,1,3,11,42,101,141,263
May 14,2:00 p.m.,Adair,Cass,Clay,Green,Lafayette,Lawrence,Moniteau,Pemiscot,Platt,Scott,Franklin(2),Jackson(2),Jefferson(2),St. Charles(9),St. LouisCity(11),St. LouisCounty(46)
Missouri,MO,May 15,2:00 p.m.,10456,576,134458,344,613,726,709,704,743,848,892,972,931,720,582,458,1205,9,nan,nan,nan,nan,4747,5642,67,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,2020-05-15 20:23:33.479163,0,1,3,12,43,104,145,269
May 15,2:00 p.m.,Adair,Cass,Clay,Greene,Lafayette,Lawrence,Moniteau,Pemiscot,Scott,Stoddard,Franklin(2),Platt(2),Jackson(4),Jefferson(2),St. Charles(12),St. LouisCity(12),St. LouisCounty(47)
Missouri,MO,May 16,2:00 p.m.,10675,589,139340,352,627,742,717,718,763,871,905,990,941,736,596,464,1244,9,nan,nan,nan,nan,4857,5749,69,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,2020-05-16 19:58:13.462726,0,1,3,12,43,106,149,275
May 16,2:00 p.m.,Adair,Cass,Clay,Greene,Lafayette,Lawrence,Moniteau,Pemiscot,Scott,Stoddard,Franklin(2),Platt(2),Jackson(4),Jefferson(2),St. Charles(12),St. LouisCity(12),St. LouisCounty(47)
Missouri,MO,May 17,2:00 p.m.,10789,594,146255,365,639,756,734,720,766,875,915,995,946,738,598,472,1262,8,nan,nan,nan,nan,4908,5813,68,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,2020-05-17 19:55:46.947498,0,1,3,12,43,107,150,278
May 17,2:00 p.m.,Adair,Cass,Clay,Greene,Lafayette,Lawrence,Moniteau,Pemiscot,Scott,Stoddard,Franklin(2),Platt(2),Jackson(4),Jefferson(2),St. Charles(12),St. LouisCity(12),St. LouisCounty(47)
Missouri,MO,May 18,2:00 p.m.,10945,605,154110,376,649,771,745,730,777,889,929,1008,960,743,607,481,1272,8,nan,nan,nan,nan,4975,5900,70,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,2020-05-18 20:19:03.811121,0,1,3,12,44,108,153,284
May 18,2:00 p.m.,Adair,Cass,Clay,Greene,Lafayette,Lawrence,Moniteau,Pemiscot,Scott,Stoddard,Franklin(2),Platt(2),Jackson(4),Jefferson(2),St. Charles(12),St. LouisCity(12),St. LouisCounty(47)
Missouri,MO,May 19,2:00 p.m.,11080,616,158296,384,658,786,759,739,785,897,944,1017,968,748,613,490,1284,8,nan,nan,nan,nan,5031,5981,68,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,2020-05-19 19:59:56.982153,0,1,3,13,44,108,158,289
May 19,2:00 p.m.,Adair,Cass,Clay,Greene,Lafayette,Lawrence,Moniteau,Pemiscot,Scott,Stoddard,Franklin(2),Platt(2),Jackson(4),Jefferson(2),St. Charles(12),St. LouisCity(12),St. LouisCounty(47)
