Column Name,NA,File,Corrected?,Additional Notes
Link,FALSE,../../../covid19-data/CA/data/data_historic.csv,,
Scrape Time,FALSE,../../../covid19-data/CA/data/data_historic.csv,,
# Cases Age [0-17],FALSE,../../../covid19-data/CA/data/data_new.csv,,
# Cases Age [18-49],FALSE,../../../covid19-data/CA/data/data_new.csv,,
# Cases Age [50-64],FALSE,../../../covid19-data/CA/data/data_new.csv,,
# Cases Age [65+],FALSE,../../../covid19-data/CA/data/data_new.csv,,
# Cases Age [Unknown],FALSE,../../../covid19-data/CA/data/data_new.csv,,
Scrape Time,FALSE,../../../covid19-data/CA/data/data_new.csv,,
Total Cases,FALSE,../../../covid19-data/CA/data/data_new.csv,,
Total Deaths,FALSE,../../../covid19-data/CA/data/data_new.csv,,
Total Tested,FALSE,../../../covid19-data/CA/data/data_new.csv,,
% Total Cases: Female,FALSE,../../../covid19-data/CA/data/data_new.csv,,
% Total Cases: Male,FALSE,../../../covid19-data/CA/data/data_new.csv,,
% Total Cases: Unknown Sex,FALSE,../../../covid19-data/CA/data/data_new.csv,,
# Cases Age [0-17],FALSE,../../../covid19-data/CA/data/data_preserved.csv,,
# Cases Age [18-49],FALSE,../../../covid19-data/CA/data/data_preserved.csv,,
# Cases Age [50-64],FALSE,../../../covid19-data/CA/data/data_preserved.csv,,
# Cases Age [65+],FALSE,../../../covid19-data/CA/data/data_preserved.csv,,
# Cases Age [Unknown],FALSE,../../../covid19-data/CA/data/data_preserved.csv,,
Scrape Time,FALSE,../../../covid19-data/CA/data/data_preserved.csv,,
Total Cases,FALSE,../../../covid19-data/CA/data/data_preserved.csv,,
Total Deaths,FALSE,../../../covid19-data/CA/data/data_preserved.csv,,
Total Tested,FALSE,../../../covid19-data/CA/data/data_preserved.csv,,
% Total Cases: Female,FALSE,../../../covid19-data/CA/data/data_preserved.csv,,
% Total Cases: Male,FALSE,../../../covid19-data/CA/data/data_preserved.csv,,
% Total Cases: Unknown Sex,FALSE,../../../covid19-data/CA/data/data_preserved.csv,,
Scrape Time,FALSE,../../../covid19-data/CA/data/hospital_data.csv,,
Total Cases: Patients in ICU (Confirmed),FALSE,../../../covid19-data/CA/data/hospital_data.csv,,
Total Cases: Confirmed,FALSE,../../../covid19-data/CA/data/hospital_data.csv,,
# Responding Beds: Not In Use,FALSE,../../../covid19-data/CA/data/hospital_data.csv,,
# Responding Beds: In Use,FALSE,../../../covid19-data/CA/data/hospital_data.csv,,
% Responding Facilities: In Use,TRUE,../../../covid19-data/CA/data/hospital_data.csv,Yes,Scraped different value
# Responding Facilities: In Use,TRUE,../../../covid19-data/CA/data/hospital_data.csv,Yes,Scraped different value
Total Cases: Patients in ICU (Suspected),FALSE,../../../covid19-data/CA/data/hospital_data.csv,,
Total Cases: Suspected,TRUE,../../../covid19-data/CA/data/hospital_data.csv,Yes,Had not scraped; corrected suspected ICU too
Scrape Time,FALSE,../../../covid19-data/CA/data/hospital_data_preserved.csv,,
Total Cases: Patients in ICU (Confirmed),FALSE,../../../covid19-data/CA/data/hospital_data_preserved.csv,,
Total Cases: Confirmed,FALSE,../../../covid19-data/CA/data/hospital_data_preserved.csv,,
# Responding Beds: Not In Use,FALSE,../../../covid19-data/CA/data/hospital_data_preserved.csv,,
# Responding Beds: In Use,FALSE,../../../covid19-data/CA/data/hospital_data_preserved.csv,,
% Responding Facilities: In Use,FALSE,../../../covid19-data/CA/data/hospital_data_preserved.csv,,
# Responding Facilities: In Use,FALSE,../../../covid19-data/CA/data/hospital_data_preserved.csv,,
Total Cases: Patients in ICU (Suspected),FALSE,../../../covid19-data/CA/data/hospital_data_preserved.csv,,
Total Cases: Suspected,TRUE,../../../covid19-data/CA/data/hospital_data_preserved.csv,Yes,Had not scraped; corrected suspected ICU too
# Cases Race/Ethnicity: American Indian,FALSE,../../../covid19-data/CA/data/race_data.csv,,
# Cases Race/Ethnicity: Asian,FALSE,../../../covid19-data/CA/data/race_data.csv,,
# Cases Race/Ethnicity: Black,FALSE,../../../covid19-data/CA/data/race_data.csv,,
# Cases Race/Ethnicity: Latino,FALSE,../../../covid19-data/CA/data/race_data.csv,,
# Cases Race/Ethnicity: Multiracial,FALSE,../../../covid19-data/CA/data/race_data.csv,,
# Cases Race/Ethnicity: Native Hawaiian,FALSE,../../../covid19-data/CA/data/race_data.csv,,
# Cases Race/Ethnicity: Other,FALSE,../../../covid19-data/CA/data/race_data.csv,,
Scrape Time,FALSE,../../../covid19-data/CA/data/race_data.csv,,
# Cases Race/Ethnicity: White,FALSE,../../../covid19-data/CA/data/race_data.csv,,
# Cases Race/Ethnicity: American Indian,FALSE,../../../covid19-data/CA/data/race_data_preserved.csv,,
# Cases Race/Ethnicity: Asian,FALSE,../../../covid19-data/CA/data/race_data_preserved.csv,,
# Cases Race/Ethnicity: Black,FALSE,../../../covid19-data/CA/data/race_data_preserved.csv,,
# Cases Race/Ethnicity: Latino,FALSE,../../../covid19-data/CA/data/race_data_preserved.csv,,
# Cases Race/Ethnicity: Multiracial,FALSE,../../../covid19-data/CA/data/race_data_preserved.csv,,
# Cases Race/Ethnicity: Native Hawaiian,FALSE,../../../covid19-data/CA/data/race_data_preserved.csv,,
# Cases Race/Ethnicity: Other,FALSE,../../../covid19-data/CA/data/race_data_preserved.csv,,
Scrape Time,FALSE,../../../covid19-data/CA/data/race_data_preserved.csv,,
# Cases Race/Ethnicity: White,FALSE,../../../covid19-data/CA/data/race_data_preserved.csv,,
# Cases Age [0-9],TRUE,../../../covid19-data/CO/data/data.csv,Some,"Changed to % half-way, stopped scraping"
# Cases Age [10-19],TRUE,../../../covid19-data/CO/data/data.csv,Some,"Changed to % half-way, stopped scraping"
# Cases Age [20-29],TRUE,../../../covid19-data/CO/data/data.csv,Some,"Changed to % half-way, stopped scraping"
# Cases Age [30-39],TRUE,../../../covid19-data/CO/data/data.csv,Some,"Changed to % half-way, stopped scraping"
# Cases Age [40-49],TRUE,../../../covid19-data/CO/data/data.csv,Some,"Changed to % half-way, stopped scraping"
# Cases Age [50-59],TRUE,../../../covid19-data/CO/data/data.csv,Some,"Changed to % half-way, stopped scraping"
# Cases Age [60-69],TRUE,../../../covid19-data/CO/data/data.csv,Some,"Changed to % half-way, stopped scraping"
# Cases Age [70-79],TRUE,../../../covid19-data/CO/data/data.csv,Some,"Changed to % half-way, stopped scraping"
# Cases Age [80+],TRUE,../../../covid19-data/CO/data/data.csv,Some,"Changed to % half-way, stopped scraping"
# Cases Age [Unknown],TRUE,../../../covid19-data/CO/data/data.csv,Some,"Changed to % half-way, stopped scraping"
Total Deaths,FALSE,../../../covid19-data/CO/data/data.csv,,
# Deaths Age [0-9],TRUE,../../../covid19-data/CO/data/data.csv,Yes,
# Deaths Age [10-19],TRUE,../../../covid19-data/CO/data/data.csv,Yes,
# Deaths Age [20-29],TRUE,../../../covid19-data/CO/data/data.csv,Yes,
# Deaths Age [30-39],TRUE,../../../covid19-data/CO/data/data.csv,Yes,
# Deaths Age [40-49],TRUE,../../../covid19-data/CO/data/data.csv,Yes,
# Deaths Age [50-59],TRUE,../../../covid19-data/CO/data/data.csv,Yes,
# Deaths Age [60-69],TRUE,../../../covid19-data/CO/data/data.csv,Yes,
# Deaths Age [70-79],TRUE,../../../covid19-data/CO/data/data.csv,Yes,
# Deaths Age [80+],TRUE,../../../covid19-data/CO/data/data.csv,Yes,
# Deaths Age [Unknown],TRUE,../../../covid19-data/CO/data/data.csv,Yes,
Total Cases: Female,TRUE,../../../covid19-data/CO/data/data.csv,No,Information changed to % and some weren't available
Total Deaths: Female,TRUE,../../../covid19-data/CO/data/data.csv,No,Information changed to % and some weren't available
Total Cases: Male,TRUE,../../../covid19-data/CO/data/data.csv,No,Information changed to % and some weren't available
Total Deaths: Male,TRUE,../../../covid19-data/CO/data/data.csv,No,Information changed to % and some weren't available
Total Cases: Unknown Sex,TRUE,../../../covid19-data/CO/data/data.csv,No,Information changed to % and some weren't available
Total Hospitalized,FALSE,../../../covid19-data/CO/data/data.csv,,
# Hospitalized Age [0-9],TRUE,../../../covid19-data/CO/data/data.csv,Yes,
# Hospitalized Age [10-19],TRUE,../../../covid19-data/CO/data/data.csv,Yes,
# Hospitalized Age [20-29],TRUE,../../../covid19-data/CO/data/data.csv,Yes,
# Hospitalized Age [30-39],TRUE,../../../covid19-data/CO/data/data.csv,Yes,
# Hospitalized Age [40-49],TRUE,../../../covid19-data/CO/data/data.csv,Yes,
# Hospitalized Age [50-59],TRUE,../../../covid19-data/CO/data/data.csv,Yes,
# Hospitalized Age [60-69],TRUE,../../../covid19-data/CO/data/data.csv,Yes,
# Hospitalized Age [70-79],TRUE,../../../covid19-data/CO/data/data.csv,Yes,
# Hospitalized Age [80+],TRUE,../../../covid19-data/CO/data/data.csv,Yes,
# Hospitalized Age [Unknown],TRUE,../../../covid19-data/CO/data/data.csv,Yes,
# Not Hospitalized Age [0-9],TRUE,../../../covid19-data/CO/data/data.csv,Yes,
# Not Hospitalized Age [10-19],TRUE,../../../covid19-data/CO/data/data.csv,Yes,
# Not Hospitalized Age [20-29],TRUE,../../../covid19-data/CO/data/data.csv,Yes,
# Not Hospitalized Age [30-39],TRUE,../../../covid19-data/CO/data/data.csv,Yes,
# Not Hospitalized Age [40-49],TRUE,../../../covid19-data/CO/data/data.csv,Yes,
# Not Hospitalized Age [50-59],TRUE,../../../covid19-data/CO/data/data.csv,Yes,
# Not Hospitalized Age [60-69],TRUE,../../../covid19-data/CO/data/data.csv,Yes,
# Not Hospitalized Age [70-79],TRUE,../../../covid19-data/CO/data/data.csv,Yes,
# Not Hospitalized Age [80+],TRUE,../../../covid19-data/CO/data/data.csv,Yes,
# Not Hospitalized Age [Unknown],TRUE,../../../covid19-data/CO/data/data.csv,Yes,
# Outbreaks,TRUE,../../../covid19-data/CO/data/data.csv,No,Unavailable raw data
Total Tested,FALSE,../../../covid19-data/CO/data/data.csv,,
Total Cases,FALSE,../../../covid19-data/CO/data/data.csv,,
Report Date,FALSE,../../../covid19-data/CO/data/data.csv,,
Scrape Time,FALSE,../../../covid19-data/CO/data/data.csv,,
# Cases Age [0-18]: Female ,FALSE,../../../covid19-data/DC/data/data.csv,,
# Cases Age [0-18]: Male ,FALSE,../../../covid19-data/DC/data/data.csv,,
# Cases Age [19-30]: Female ,FALSE,../../../covid19-data/DC/data/data.csv,,
# Cases Age [19-30]: Male ,FALSE,../../../covid19-data/DC/data/data.csv,,
# Cases Age [31-40]: Female ,FALSE,../../../covid19-data/DC/data/data.csv,,
# Cases Age [31-40]: Male ,FALSE,../../../covid19-data/DC/data/data.csv,,
# Cases Age [41-50]: Female ,FALSE,../../../covid19-data/DC/data/data.csv,,
# Cases Age [41-50]: Male ,FALSE,../../../covid19-data/DC/data/data.csv,,
# Cases Age [51-60]: Female ,FALSE,../../../covid19-data/DC/data/data.csv,,
# Cases Age [51-60]: Male ,FALSE,../../../covid19-data/DC/data/data.csv,,
# Cases Age [61-70]: Female ,FALSE,../../../covid19-data/DC/data/data.csv,,
# Cases Age [61-70]: Male ,FALSE,../../../covid19-data/DC/data/data.csv,,
# Cases Age [71-80]: Female ,FALSE,../../../covid19-data/DC/data/data.csv,,
# Cases Age [71-80]: Male ,FALSE,../../../covid19-data/DC/data/data.csv,,
# Cases Age [81+]: Female ,FALSE,../../../covid19-data/DC/data/data.csv,,
# Cases Age [81+]: Male ,FALSE,../../../covid19-data/DC/data/data.csv,,
Scrape Time,FALSE,../../../covid19-data/DC/data/data.csv,,
# Cases Age [0-18]: Female ,FALSE,../../../covid19-data/DC/data/data_v1.csv,,
# Cases Age [19-30]: Female ,FALSE,../../../covid19-data/DC/data/data_v1.csv,,
# Cases Age [31-40]: Female ,FALSE,../../../covid19-data/DC/data/data_v1.csv,,
# Cases Age [41-50]: Female ,FALSE,../../../covid19-data/DC/data/data_v1.csv,,
# Cases Age [51-60]: Female ,FALSE,../../../covid19-data/DC/data/data_v1.csv,,
# Cases Age [61-70]: Female ,FALSE,../../../covid19-data/DC/data/data_v1.csv,,
# Cases Age [71-80]: Female ,FALSE,../../../covid19-data/DC/data/data_v1.csv,,
# Cases Age [81+]: Female ,FALSE,../../../covid19-data/DC/data/data_v1.csv,,
# Cases Age [0-18]: Male ,FALSE,../../../covid19-data/DC/data/data_v1.csv,,
# Cases Age [19-30]: Male ,FALSE,../../../covid19-data/DC/data/data_v1.csv,,
# Cases Age [31-40]: Male ,FALSE,../../../covid19-data/DC/data/data_v1.csv,,
# Cases Age [41-50]: Male ,FALSE,../../../covid19-data/DC/data/data_v1.csv,,
# Cases Age [51-60]: Male ,FALSE,../../../covid19-data/DC/data/data_v1.csv,,
# Cases Age [61-70]: Male ,FALSE,../../../covid19-data/DC/data/data_v1.csv,,
# Cases Age [71-80]: Male ,FALSE,../../../covid19-data/DC/data/data_v1.csv,,
# Cases Age [81+]: Male ,FALSE,../../../covid19-data/DC/data/data_v1.csv,,
Scrape Time,FALSE,../../../covid19-data/DC/data/data_v1.csv,,
Total Recovered,FALSE,../../../covid19-data/DE/data/data.csv,,
# Cases Age [0-4],FALSE,../../../covid19-data/DE/data/data.csv,,
# Cases Age [5-17],FALSE,../../../covid19-data/DE/data/data.csv,,
# Cases Age [18-49],FALSE,../../../covid19-data/DE/data/data.csv,,
# Cases Age [50-64],FALSE,../../../covid19-data/DE/data/data.csv,,
# Cases Age [65+],FALSE,../../../covid19-data/DE/data/data.csv,,
Total Hospitalized,FALSE,../../../covid19-data/DE/data/data.csv,,
Total Cases: Critical Condition,FALSE,../../../covid19-data/DE/data/data.csv,,
Total Cases: Male,FALSE,../../../covid19-data/DE/data/data.csv,,
Total Cases: Female,FALSE,../../../covid19-data/DE/data/data.csv,,
Scrape Time,FALSE,../../../covid19-data/DE/data/data.csv,,
Entry Creation Date,FALSE,../../../covid19-data/DE/data/data.csv,,
Edit Date,FALSE,../../../covid19-data/DE/data/data.csv,,
Report Date,FALSE,../../../covid19-data/DE/data/data.csv,,
County Number,FALSE,../../../covid19-data/FL/data/data.csv,,
County Name,FALSE,../../../covid19-data/FL/data/data.csv,,
PUIsTotal,FALSE,../../../covid19-data/FL/data/data.csv,,
# Cases Age [0-4],FALSE,../../../covid19-data/FL/data/data.csv,,
# Cases Age [5-14],FALSE,../../../covid19-data/FL/data/data.csv,,
# Cases Age [15-24],FALSE,../../../covid19-data/FL/data/data.csv,,
# Cases Age [25-34],FALSE,../../../covid19-data/FL/data/data.csv,,
# Cases Age [35-44],FALSE,../../../covid19-data/FL/data/data.csv,,
# Cases Age [45-54],FALSE,../../../covid19-data/FL/data/data.csv,,
# Cases Age [55-64],FALSE,../../../covid19-data/FL/data/data.csv,,
# Cases Age [65-74],FALSE,../../../covid19-data/FL/data/data.csv,,
# Cases Age [75-84],FALSE,../../../covid19-data/FL/data/data.csv,,
# Cases Age [85+],FALSE,../../../covid19-data/FL/data/data.csv,,
# Cases Age [Unknown],FALSE,../../../covid19-data/FL/data/data.csv,,
PUIAgeRange,FALSE,../../../covid19-data/FL/data/data.csv,,
PUIAgeMedian,FALSE,../../../covid19-data/FL/data/data.csv,,
PUIFemale,FALSE,../../../covid19-data/FL/data/data.csv,,
PUIMale,FALSE,../../../covid19-data/FL/data/data.csv,,
PUISexUnkn,FALSE,../../../covid19-data/FL/data/data.csv,,
PUIFLRes,FALSE,../../../covid19-data/FL/data/data.csv,,
PUINotFLRes,FALSE,../../../covid19-data/FL/data/data.csv,,
PUIFLResOut,FALSE,../../../covid19-data/FL/data/data.csv,,
PUIContNo,FALSE,../../../covid19-data/FL/data/data.csv,,
PUIContUnkn,FALSE,../../../covid19-data/FL/data/data.csv,,
PUITravelNo,FALSE,../../../covid19-data/FL/data/data.csv,,
PUITravelYes,FALSE,../../../covid19-data/FL/data/data.csv,,
Total Tested: Positive,FALSE,../../../covid19-data/FL/data/data.csv,,
Total Tested: Negative,FALSE,../../../covid19-data/FL/data/data.csv,,
Total Tested: Incoming Tests,FALSE,../../../covid19-data/FL/data/data.csv,,
Total Tested: Pending Results,FALSE,../../../covid19-data/FL/data/data.csv,,
Total Tested: With Results,FALSE,../../../covid19-data/FL/data/data.csv,,
Total Cases: Female,FALSE,../../../covid19-data/FL/data/data.csv,,
Total Cases: Male,FALSE,../../../covid19-data/FL/data/data.csv,,
Total Cases: Unknown Sex,FALSE,../../../covid19-data/FL/data/data.csv,,
Total Cases: All Residents,FALSE,../../../covid19-data/FL/data/data.csv,,
# Cases Age [0-4],FALSE,../../../covid19-data/FL/data/data.csv,,
# Cases Age [5-14],FALSE,../../../covid19-data/FL/data/data.csv,,
# Cases Age [15-24],FALSE,../../../covid19-data/FL/data/data.csv,,
# Cases Age [25-34],FALSE,../../../covid19-data/FL/data/data.csv,,
# Cases Age [35-44],FALSE,../../../covid19-data/FL/data/data.csv,,
# Cases Age [45-54],FALSE,../../../covid19-data/FL/data/data.csv,,
# Cases Age [55-64],FALSE,../../../covid19-data/FL/data/data.csv,,
# Cases Age [65-74],FALSE,../../../covid19-data/FL/data/data.csv,,
# Cases Age [75-84],FALSE,../../../covid19-data/FL/data/data.csv,,
# Cases Age [85+],FALSE,../../../covid19-data/FL/data/data.csv,,
# Cases Age [Unknown],FALSE,../../../covid19-data/FL/data/data.csv,,
Range Age of Cases,TRUE,../../../covid19-data/FL/data/data.csv,No,Unavailable raw data
Median Age of Cases,TRUE,../../../covid19-data/FL/data/data.csv,No,Unavailable raw data
# Cases Race/Ethnicity: White,FALSE,../../../covid19-data/FL/data/data.csv,,
# Cases Race/Ethnicity: Black,FALSE,../../../covid19-data/FL/data/data.csv,,
# Cases Race/Ethnicity: Other,FALSE,../../../covid19-data/FL/data/data.csv,,
# Cases Race/Ethnicity: Unknown,FALSE,../../../covid19-data/FL/data/data.csv,,
# Cases Race/Ethnicity: Hispanic,FALSE,../../../covid19-data/FL/data/data.csv,,
# Cases Race/Ethnicity: Non-Hispanic,FALSE,../../../covid19-data/FL/data/data.csv,,
# Cases Race/Ethnicity: Hispanic/Unknown,FALSE,../../../covid19-data/FL/data/data.csv,,
Total Cases: Yes ED Visit Resident,FALSE,../../../covid19-data/FL/data/data.csv,,
Total Cases: Yes ED Visit Non-Resident,FALSE,../../../covid19-data/FL/data/data.csv,,
"Total Cases: Hospitalized, FL Residents",FALSE,../../../covid19-data/FL/data/data.csv,,
"Total Cases: Hospitalized, FL Non-Residents",FALSE,../../../covid19-data/FL/data/data.csv,,
Total Deaths: Non-Florida Resident tested in FL,FALSE,../../../covid19-data/FL/data/data.csv,,
Total Deaths: Florida Resident tested in FL,FALSE,../../../covid19-data/FL/data/data.csv,,
Total Cases,FALSE,../../../covid19-data/FL/data/data.csv,,
Total Cases: Male,FALSE,../../../covid19-data/FL/data/data.csv,,
Total Cases: Female,FALSE,../../../covid19-data/FL/data/data.csv,,
Total Cases: Florida Resident tested in FL,FALSE,../../../covid19-data/FL/data/data.csv,,
Total Cases: Non-Florida Resident in FL,FALSE,../../../covid19-data/FL/data/data.csv,,
Total Cases: Florida Resident tested outside FL,FALSE,../../../covid19-data/FL/data/data.csv,,
Total Tested: Negative,FALSE,../../../covid19-data/FL/data/data.csv,,
"Total Tested: Negative, Non-FL Residents",FALSE,../../../covid19-data/FL/data/data.csv,,
Total Tested,FALSE,../../../covid19-data/FL/data/data.csv,,
Total Tested: Negative,FALSE,../../../covid19-data/FL/data/data.csv,,
Total Tested: Positive,FALSE,../../../covid19-data/FL/data/data.csv,,
Total Deaths,FALSE,../../../covid19-data/FL/data/data.csv,,
EverMon,FALSE,../../../covid19-data/FL/data/data.csv,,
MonNow,FALSE,../../../covid19-data/FL/data/data.csv,,
Scrape Time,FALSE,../../../covid19-data/FL/data/data.csv,,
County Number,FALSE,../../../covid19-data/FL/data/dataV1.csv,,
County Name,FALSE,../../../covid19-data/FL/data/dataV1.csv,,
PUIsTotal,FALSE,../../../covid19-data/FL/data/dataV1.csv,,
# Cases Age [0-4],FALSE,../../../covid19-data/FL/data/dataV1.csv,,
# Cases Age [5-14],FALSE,../../../covid19-data/FL/data/dataV1.csv,,
# Cases Age [15-24],FALSE,../../../covid19-data/FL/data/dataV1.csv,,
# Cases Age [25-34],FALSE,../../../covid19-data/FL/data/dataV1.csv,,
# Cases Age [35-44],FALSE,../../../covid19-data/FL/data/dataV1.csv,,
# Cases Age [45-54],FALSE,../../../covid19-data/FL/data/dataV1.csv,,
# Cases Age [55-64],FALSE,../../../covid19-data/FL/data/dataV1.csv,,
# Cases Age [65-74],FALSE,../../../covid19-data/FL/data/dataV1.csv,,
# Cases Age [75-84],FALSE,../../../covid19-data/FL/data/dataV1.csv,,
# Cases Age [85+],FALSE,../../../covid19-data/FL/data/dataV1.csv,,
# Cases Age [Unknown],FALSE,../../../covid19-data/FL/data/dataV1.csv,,
# Cases Age [0-4],FALSE,../../../covid19-data/FL/data/dataV1.csv,,
# Cases Age [5-14],FALSE,../../../covid19-data/FL/data/dataV1.csv,,
# Cases Age [15-24],FALSE,../../../covid19-data/FL/data/dataV1.csv,,
# Cases Age [25-34],FALSE,../../../covid19-data/FL/data/dataV1.csv,,
# Cases Age [35-44],FALSE,../../../covid19-data/FL/data/dataV1.csv,,
# Cases Age [45-54],FALSE,../../../covid19-data/FL/data/dataV1.csv,,
# Cases Age [55-64],FALSE,../../../covid19-data/FL/data/dataV1.csv,,
# Cases Age [65-74],FALSE,../../../covid19-data/FL/data/dataV1.csv,,
# Cases Age [75-84],FALSE,../../../covid19-data/FL/data/dataV1.csv,,
# Cases Age [85+],FALSE,../../../covid19-data/FL/data/dataV1.csv,,
