,0,File
# Cases Age [Unknown],False,../../../covid19-data/CA/data/data_depricated.csv
Total Tested,False,../../../covid19-data/CA/data/data_depricated.csv
Total Tested: With Results,False,../../../covid19-data/CA/data/data_depricated.csv
Total Tested: Pending Results,False,../../../covid19-data/CA/data/data_depricated.csv
Link,False,../../../covid19-data/CA/data/data_depricated.csv
Scrape Time,False,../../../covid19-data/CA/data/data_depricated.csv
State Name,False,../../../covid19-data/CA/data/data_historic.csv
State,False,../../../covid19-data/CA/data/data_historic.csv
Report Date,False,../../../covid19-data/CA/data/data_historic.csv
Report Time,False,../../../covid19-data/CA/data/data_historic.csv
Timezone,False,../../../covid19-data/CA/data/data_historic.csv
Total Deaths,True,../../../covid19-data/CA/data/data_historic.csv
Total Cases,False,../../../covid19-data/CA/data/data_historic.csv
Total Cases: Female,True,../../../covid19-data/CA/data/data_historic.csv
Total Cases: Male,True,../../../covid19-data/CA/data/data_historic.csv
Total Cases: Unknown Sex,True,../../../covid19-data/CA/data/data_historic.csv
# Cases Age [0-17],True,../../../covid19-data/CA/data/data_historic.csv
# Cases Age [18-49],True,../../../covid19-data/CA/data/data_historic.csv
# Cases Age [50-64],True,../../../covid19-data/CA/data/data_historic.csv
# Cases Age [18-64],True,../../../covid19-data/CA/data/data_historic.csv
# Cases Age [65+],True,../../../covid19-data/CA/data/data_historic.csv
# Cases Age [Unknown],True,../../../covid19-data/CA/data/data_historic.csv
Total Tested,True,../../../covid19-data/CA/data/data_historic.csv
Link,False,../../../covid19-data/CA/data/data_historic.csv
Scrape Time,False,../../../covid19-data/CA/data/data_historic.csv
# Cases Age [0-17],False,../../../covid19-data/CA/data/data_new.csv
# Cases Age [18-49],False,../../../covid19-data/CA/data/data_new.csv
# Cases Age [50-64],False,../../../covid19-data/CA/data/data_new.csv
# Cases Age [65+],False,../../../covid19-data/CA/data/data_new.csv
# Cases Age [Unknown],False,../../../covid19-data/CA/data/data_new.csv
Scrape Time,False,../../../covid19-data/CA/data/data_new.csv
Total Cases,False,../../../covid19-data/CA/data/data_new.csv
Total Deaths,False,../../../covid19-data/CA/data/data_new.csv
Total Tested,False,../../../covid19-data/CA/data/data_new.csv
% Total Cases: Female,False,../../../covid19-data/CA/data/data_new.csv
% Total Cases: Male,False,../../../covid19-data/CA/data/data_new.csv
% Total Cases: Unknown Sex,False,../../../covid19-data/CA/data/data_new.csv
# Cases Age [0-17],False,../../../covid19-data/CA/data/data_preserved.csv
# Cases Age [18-49],False,../../../covid19-data/CA/data/data_preserved.csv
# Cases Age [50-64],False,../../../covid19-data/CA/data/data_preserved.csv
# Cases Age [65+],False,../../../covid19-data/CA/data/data_preserved.csv
# Cases Age [Unknown],False,../../../covid19-data/CA/data/data_preserved.csv
Scrape Time,False,../../../covid19-data/CA/data/data_preserved.csv
Total Cases,False,../../../covid19-data/CA/data/data_preserved.csv
Total Deaths,False,../../../covid19-data/CA/data/data_preserved.csv
Total Tested,False,../../../covid19-data/CA/data/data_preserved.csv
% Total Cases: Female,False,../../../covid19-data/CA/data/data_preserved.csv
% Total Cases: Male,False,../../../covid19-data/CA/data/data_preserved.csv
% Total Cases: Unknown Sex,False,../../../covid19-data/CA/data/data_preserved.csv
Scrape Time,False,../../../covid19-data/CA/data/hospital_data (Armin Pourshafeie's conflicted copy 2020-05-08).csv
Total Cases: Patients in ICU (Confirmed),False,../../../covid19-data/CA/data/hospital_data (Armin Pourshafeie's conflicted copy 2020-05-08).csv
Total Cases: Confirmed,False,../../../covid19-data/CA/data/hospital_data (Armin Pourshafeie's conflicted copy 2020-05-08).csv
# Responding Beds: Not In Use,False,../../../covid19-data/CA/data/hospital_data (Armin Pourshafeie's conflicted copy 2020-05-08).csv
# Responding Beds: In Use,False,../../../covid19-data/CA/data/hospital_data (Armin Pourshafeie's conflicted copy 2020-05-08).csv
% Responding Facilities: In Use,False,../../../covid19-data/CA/data/hospital_data (Armin Pourshafeie's conflicted copy 2020-05-08).csv
# Responding Facilities: In Use,False,../../../covid19-data/CA/data/hospital_data (Armin Pourshafeie's conflicted copy 2020-05-08).csv
Total Cases: Patients in ICU (Suspected),False,../../../covid19-data/CA/data/hospital_data (Armin Pourshafeie's conflicted copy 2020-05-08).csv
Total Cases: Suspected,True,../../../covid19-data/CA/data/hospital_data (Armin Pourshafeie's conflicted copy 2020-05-08).csv
Scrape Time,False,../../../covid19-data/CA/data/hospital_data (Armin Pourshafeie's conflicted copy 2020-05-11).csv
Total Cases: Patients in ICU (Confirmed),False,../../../covid19-data/CA/data/hospital_data (Armin Pourshafeie's conflicted copy 2020-05-11).csv
Total Cases: Confirmed,False,../../../covid19-data/CA/data/hospital_data (Armin Pourshafeie's conflicted copy 2020-05-11).csv
# Responding Beds: Not In Use,False,../../../covid19-data/CA/data/hospital_data (Armin Pourshafeie's conflicted copy 2020-05-11).csv
# Responding Beds: In Use,False,../../../covid19-data/CA/data/hospital_data (Armin Pourshafeie's conflicted copy 2020-05-11).csv
% Responding Facilities: In Use,True,../../../covid19-data/CA/data/hospital_data (Armin Pourshafeie's conflicted copy 2020-05-11).csv
# Responding Facilities: In Use,True,../../../covid19-data/CA/data/hospital_data (Armin Pourshafeie's conflicted copy 2020-05-11).csv
Total Cases: Patients in ICU (Suspected),False,../../../covid19-data/CA/data/hospital_data (Armin Pourshafeie's conflicted copy 2020-05-11).csv
Total Cases: Suspected,False,../../../covid19-data/CA/data/hospital_data (Armin Pourshafeie's conflicted copy 2020-05-11).csv
Scrape Time,False,../../../covid19-data/CA/data/hospital_data.csv
Total Cases: Patients in ICU (Confirmed),False,../../../covid19-data/CA/data/hospital_data.csv
Total Cases: Confirmed,False,../../../covid19-data/CA/data/hospital_data.csv
# Responding Beds: Not In Use,False,../../../covid19-data/CA/data/hospital_data.csv
# Responding Beds: In Use,False,../../../covid19-data/CA/data/hospital_data.csv
% Responding Facilities: In Use,False,../../../covid19-data/CA/data/hospital_data.csv
# Responding Facilities: In Use,False,../../../covid19-data/CA/data/hospital_data.csv
Total Cases: Patients in ICU (Suspected),False,../../../covid19-data/CA/data/hospital_data.csv
Total Cases: Suspected,False,../../../covid19-data/CA/data/hospital_data.csv
# Cases Race/Ethnicity: American Indian,False,../../../covid19-data/CA/data/race_data (Armin Pourshafeie's conflicted copy 2020-05-08).csv
# Cases Race/Ethnicity: Asian,False,../../../covid19-data/CA/data/race_data (Armin Pourshafeie's conflicted copy 2020-05-08).csv
# Cases Race/Ethnicity: Black,False,../../../covid19-data/CA/data/race_data (Armin Pourshafeie's conflicted copy 2020-05-08).csv
# Cases Race/Ethnicity: Latino,False,../../../covid19-data/CA/data/race_data (Armin Pourshafeie's conflicted copy 2020-05-08).csv
# Cases Race/Ethnicity: Multiracial,False,../../../covid19-data/CA/data/race_data (Armin Pourshafeie's conflicted copy 2020-05-08).csv
# Cases Race/Ethnicity: Native Hawaiian,False,../../../covid19-data/CA/data/race_data (Armin Pourshafeie's conflicted copy 2020-05-08).csv
# Cases Race/Ethnicity: Other,False,../../../covid19-data/CA/data/race_data (Armin Pourshafeie's conflicted copy 2020-05-08).csv
Scrape Time,False,../../../covid19-data/CA/data/race_data (Armin Pourshafeie's conflicted copy 2020-05-08).csv
# Cases Race/Ethnicity: White,False,../../../covid19-data/CA/data/race_data (Armin Pourshafeie's conflicted copy 2020-05-08).csv
# Cases Race/Ethnicity: American Indian,False,../../../covid19-data/CA/data/race_data (Armin Pourshafeie's conflicted copy 2020-05-11).csv
# Cases Race/Ethnicity: Asian,False,../../../covid19-data/CA/data/race_data (Armin Pourshafeie's conflicted copy 2020-05-11).csv
# Cases Race/Ethnicity: Black,False,../../../covid19-data/CA/data/race_data (Armin Pourshafeie's conflicted copy 2020-05-11).csv
# Cases Race/Ethnicity: Latino,False,../../../covid19-data/CA/data/race_data (Armin Pourshafeie's conflicted copy 2020-05-11).csv
# Cases Race/Ethnicity: Multiracial,False,../../../covid19-data/CA/data/race_data (Armin Pourshafeie's conflicted copy 2020-05-11).csv
# Cases Race/Ethnicity: Native Hawaiian,False,../../../covid19-data/CA/data/race_data (Armin Pourshafeie's conflicted copy 2020-05-11).csv
# Cases Race/Ethnicity: Other,False,../../../covid19-data/CA/data/race_data (Armin Pourshafeie's conflicted copy 2020-05-11).csv
Scrape Time,False,../../../covid19-data/CA/data/race_data (Armin Pourshafeie's conflicted copy 2020-05-11).csv
# Cases Race/Ethnicity: White,False,../../../covid19-data/CA/data/race_data (Armin Pourshafeie's conflicted copy 2020-05-11).csv
# Cases Race/Ethnicity: American Indian,False,../../../covid19-data/CA/data/race_data.csv
# Cases Race/Ethnicity: Asian,False,../../../covid19-data/CA/data/race_data.csv
# Cases Race/Ethnicity: Black,False,../../../covid19-data/CA/data/race_data.csv
# Cases Race/Ethnicity: Latino,False,../../../covid19-data/CA/data/race_data.csv
# Cases Race/Ethnicity: Multiracial,False,../../../covid19-data/CA/data/race_data.csv
# Cases Race/Ethnicity: Native Hawaiian,False,../../../covid19-data/CA/data/race_data.csv
# Cases Race/Ethnicity: Other,False,../../../covid19-data/CA/data/race_data.csv
Scrape Time,False,../../../covid19-data/CA/data/race_data.csv
# Cases Race/Ethnicity: White,False,../../../covid19-data/CA/data/race_data.csv
# Deaths Age [0-9],False,../../../covid19-data/CO/data/data.csv
# Deaths Age [10-19],False,../../../covid19-data/CO/data/data.csv
# Deaths Age [20-29],False,../../../covid19-data/CO/data/data.csv
# Deaths Age [30-39],False,../../../covid19-data/CO/data/data.csv
# Deaths Age [40-49],False,../../../covid19-data/CO/data/data.csv
# Deaths Age [50-59],False,../../../covid19-data/CO/data/data.csv
# Deaths Age [60-69],False,../../../covid19-data/CO/data/data.csv
# Deaths Age [70-79],False,../../../covid19-data/CO/data/data.csv
# Deaths Age [80+],False,../../../covid19-data/CO/data/data.csv
# Deaths Age [Unknown],False,../../../covid19-data/CO/data/data.csv
# Hospitalized Age [0-9],False,../../../covid19-data/CO/data/data.csv
# Hospitalized Age [10-19],False,../../../covid19-data/CO/data/data.csv
# Hospitalized Age [20-29],False,../../../covid19-data/CO/data/data.csv
# Hospitalized Age [30-39],False,../../../covid19-data/CO/data/data.csv
# Hospitalized Age [40-49],False,../../../covid19-data/CO/data/data.csv
# Hospitalized Age [50-59],False,../../../covid19-data/CO/data/data.csv
# Hospitalized Age [60-69],False,../../../covid19-data/CO/data/data.csv
# Hospitalized Age [70-79],False,../../../covid19-data/CO/data/data.csv
# Hospitalized Age [80+],False,../../../covid19-data/CO/data/data.csv
# Hospitalized Age [Unknown],False,../../../covid19-data/CO/data/data.csv
# Not Hospitalized Age [0-9],False,../../../covid19-data/CO/data/data.csv
# Not Hospitalized Age [10-19],False,../../../covid19-data/CO/data/data.csv
# Not Hospitalized Age [20-29],False,../../../covid19-data/CO/data/data.csv
# Not Hospitalized Age [30-39],False,../../../covid19-data/CO/data/data.csv
# Not Hospitalized Age [40-49],False,../../../covid19-data/CO/data/data.csv
# Not Hospitalized Age [50-59],False,../../../covid19-data/CO/data/data.csv
# Not Hospitalized Age [60-69],False,../../../covid19-data/CO/data/data.csv
# Not Hospitalized Age [70-79],False,../../../covid19-data/CO/data/data.csv
# Not Hospitalized Age [80+],False,../../../covid19-data/CO/data/data.csv
# Not Hospitalized Age [Unknown],False,../../../covid19-data/CO/data/data.csv
# Outbreaks,False,../../../covid19-data/CO/data/data.csv
% Cases Age [0-9],False,../../../covid19-data/CO/data/data.csv
% Cases Age [10-19],False,../../../covid19-data/CO/data/data.csv
% Cases Age [20-29],False,../../../covid19-data/CO/data/data.csv
% Cases Age [30-39],False,../../../covid19-data/CO/data/data.csv
% Cases Age [40-49],False,../../../covid19-data/CO/data/data.csv
% Cases Age [50-59],False,../../../covid19-data/CO/data/data.csv
% Cases Age [60-69],False,../../../covid19-data/CO/data/data.csv
% Cases Age [70-79],False,../../../covid19-data/CO/data/data.csv
% Cases Age [80+],False,../../../covid19-data/CO/data/data.csv
% Cases Age [Unknown],False,../../../covid19-data/CO/data/data.csv
% Deaths Age [0-9],False,../../../covid19-data/CO/data/data.csv
% Deaths Age [10-19],False,../../../covid19-data/CO/data/data.csv
% Deaths Age [20-29],False,../../../covid19-data/CO/data/data.csv
% Deaths Age [30-39],False,../../../covid19-data/CO/data/data.csv
% Deaths Age [40-49],False,../../../covid19-data/CO/data/data.csv
% Deaths Age [50-59],False,../../../covid19-data/CO/data/data.csv
% Deaths Age [60-69],False,../../../covid19-data/CO/data/data.csv
% Deaths Age [70-79],False,../../../covid19-data/CO/data/data.csv
% Deaths Age [80+],False,../../../covid19-data/CO/data/data.csv
% Deaths Age [Unknown],False,../../../covid19-data/CO/data/data.csv
% Total Cases: Female,False,../../../covid19-data/CO/data/data.csv
% Total Cases: Male,False,../../../covid19-data/CO/data/data.csv
% Total Cases: Unknown Sex,False,../../../covid19-data/CO/data/data.csv
Total Cases,False,../../../covid19-data/CO/data/data.csv
Total Deaths,True,../../../covid19-data/CO/data/data.csv
Total Hospitalized,False,../../../covid19-data/CO/data/data.csv
Total Tested,False,../../../covid19-data/CO/data/data.csv
Report Date,False,../../../covid19-data/CO/data/data.csv
Scrape Time,False,../../../covid19-data/CO/data/data.csv
# Cases Age [0-9],True,../../../covid19-data/CO/data/dataV1.csv
# Cases Age [10-19],True,../../../covid19-data/CO/data/dataV1.csv
# Cases Age [20-29],True,../../../covid19-data/CO/data/dataV1.csv
# Cases Age [30-39],True,../../../covid19-data/CO/data/dataV1.csv
# Cases Age [40-49],True,../../../covid19-data/CO/data/dataV1.csv
# Cases Age [50-59],True,../../../covid19-data/CO/data/dataV1.csv
# Cases Age [60-69],True,../../../covid19-data/CO/data/dataV1.csv
# Cases Age [70-79],True,../../../covid19-data/CO/data/dataV1.csv
# Cases Age [80+],True,../../../covid19-data/CO/data/dataV1.csv
# Cases Age [Unknown],True,../../../covid19-data/CO/data/dataV1.csv
Total Deaths,False,../../../covid19-data/CO/data/dataV1.csv
# Deaths Age [0-9],True,../../../covid19-data/CO/data/dataV1.csv
# Deaths Age [10-19],True,../../../covid19-data/CO/data/dataV1.csv
# Deaths Age [20-29],True,../../../covid19-data/CO/data/dataV1.csv
# Deaths Age [30-39],True,../../../covid19-data/CO/data/dataV1.csv
# Deaths Age [40-49],True,../../../covid19-data/CO/data/dataV1.csv
# Deaths Age [50-59],True,../../../covid19-data/CO/data/dataV1.csv
# Deaths Age [60-69],True,../../../covid19-data/CO/data/dataV1.csv
# Deaths Age [70-79],True,../../../covid19-data/CO/data/dataV1.csv
# Deaths Age [80+],True,../../../covid19-data/CO/data/dataV1.csv
# Deaths Age [Unknown],True,../../../covid19-data/CO/data/dataV1.csv
Total Cases: Female,True,../../../covid19-data/CO/data/dataV1.csv
Total Deaths: Female,True,../../../covid19-data/CO/data/dataV1.csv
Total Cases: Male,True,../../../covid19-data/CO/data/dataV1.csv
Total Deaths: Male,True,../../../covid19-data/CO/data/dataV1.csv
Total Cases: Unknown Sex,True,../../../covid19-data/CO/data/dataV1.csv
Total Hospitalized,False,../../../covid19-data/CO/data/dataV1.csv
# Hospitalized Age [0-9],True,../../../covid19-data/CO/data/dataV1.csv
# Hospitalized Age [10-19],True,../../../covid19-data/CO/data/dataV1.csv
# Hospitalized Age [20-29],True,../../../covid19-data/CO/data/dataV1.csv
# Hospitalized Age [30-39],True,../../../covid19-data/CO/data/dataV1.csv
# Hospitalized Age [40-49],True,../../../covid19-data/CO/data/dataV1.csv
# Hospitalized Age [50-59],True,../../../covid19-data/CO/data/dataV1.csv
# Hospitalized Age [60-69],True,../../../covid19-data/CO/data/dataV1.csv
# Hospitalized Age [70-79],True,../../../covid19-data/CO/data/dataV1.csv
# Hospitalized Age [80+],True,../../../covid19-data/CO/data/dataV1.csv
# Hospitalized Age [Unknown],True,../../../covid19-data/CO/data/dataV1.csv
# Not Hospitalized Age [0-9],True,../../../covid19-data/CO/data/dataV1.csv
# Not Hospitalized Age [10-19],True,../../../covid19-data/CO/data/dataV1.csv
# Not Hospitalized Age [20-29],True,../../../covid19-data/CO/data/dataV1.csv
# Not Hospitalized Age [30-39],True,../../../covid19-data/CO/data/dataV1.csv
# Not Hospitalized Age [40-49],True,../../../covid19-data/CO/data/dataV1.csv
# Not Hospitalized Age [50-59],True,../../../covid19-data/CO/data/dataV1.csv
# Not Hospitalized Age [60-69],True,../../../covid19-data/CO/data/dataV1.csv
# Not Hospitalized Age [70-79],True,../../../covid19-data/CO/data/dataV1.csv
# Not Hospitalized Age [80+],True,../../../covid19-data/CO/data/dataV1.csv
# Not Hospitalized Age [Unknown],True,../../../covid19-data/CO/data/dataV1.csv
# Outbreaks,True,../../../covid19-data/CO/data/dataV1.csv
Total Tested,False,../../../covid19-data/CO/data/dataV1.csv
Total Cases,False,../../../covid19-data/CO/data/dataV1.csv
Report Date,False,../../../covid19-data/CO/data/dataV1.csv
Scrape Time,False,../../../covid19-data/CO/data/dataV1.csv
# Cases Age [0-18]: Female ,False,../../../covid19-data/DC/data/data.csv
# Cases Age [0-18]: Male ,False,../../../covid19-data/DC/data/data.csv
# Cases Age [19-30]: Female ,False,../../../covid19-data/DC/data/data.csv
# Cases Age [19-30]: Male ,False,../../../covid19-data/DC/data/data.csv
# Cases Age [31-40]: Female ,False,../../../covid19-data/DC/data/data.csv
# Cases Age [31-40]: Male ,False,../../../covid19-data/DC/data/data.csv
# Cases Age [41-50]: Female ,False,../../../covid19-data/DC/data/data.csv
# Cases Age [41-50]: Male ,False,../../../covid19-data/DC/data/data.csv
# Cases Age [51-60]: Female ,False,../../../covid19-data/DC/data/data.csv
# Cases Age [51-60]: Male ,False,../../../covid19-data/DC/data/data.csv
# Cases Age [61-70]: Female ,False,../../../covid19-data/DC/data/data.csv
# Cases Age [61-70]: Male ,False,../../../covid19-data/DC/data/data.csv
# Cases Age [71-80]: Female ,False,../../../covid19-data/DC/data/data.csv
# Cases Age [71-80]: Male ,False,../../../covid19-data/DC/data/data.csv
# Cases Age [81+]: Female ,False,../../../covid19-data/DC/data/data.csv
# Cases Age [81+]: Male ,False,../../../covid19-data/DC/data/data.csv
Scrape Time,False,../../../covid19-data/DC/data/data.csv
# Cases Age [0-18]: Female ,False,../../../covid19-data/DC/data/data_v1.csv
# Cases Age [19-30]: Female ,False,../../../covid19-data/DC/data/data_v1.csv
# Cases Age [31-40]: Female ,False,../../../covid19-data/DC/data/data_v1.csv
# Cases Age [41-50]: Female ,False,../../../covid19-data/DC/data/data_v1.csv
# Cases Age [51-60]: Female ,False,../../../covid19-data/DC/data/data_v1.csv
# Cases Age [61-70]: Female ,False,../../../covid19-data/DC/data/data_v1.csv
# Cases Age [71-80]: Female ,False,../../../covid19-data/DC/data/data_v1.csv
# Cases Age [81+]: Female ,False,../../../covid19-data/DC/data/data_v1.csv
# Cases Age [0-18]: Male ,False,../../../covid19-data/DC/data/data_v1.csv
# Cases Age [19-30]: Male ,False,../../../covid19-data/DC/data/data_v1.csv
# Cases Age [31-40]: Male ,False,../../../covid19-data/DC/data/data_v1.csv
# Cases Age [41-50]: Male ,False,../../../covid19-data/DC/data/data_v1.csv
# Cases Age [51-60]: Male ,False,../../../covid19-data/DC/data/data_v1.csv
# Cases Age [61-70]: Male ,False,../../../covid19-data/DC/data/data_v1.csv
# Cases Age [71-80]: Male ,False,../../../covid19-data/DC/data/data_v1.csv
# Cases Age [81+]: Male ,False,../../../covid19-data/DC/data/data_v1.csv
Scrape Time,False,../../../covid19-data/DC/data/data_v1.csv
Total Recovered,False,../../../covid19-data/DE/data/data.csv
# Cases Age [0-4],False,../../../covid19-data/DE/data/data.csv
# Cases Age [5-17],False,../../../covid19-data/DE/data/data.csv
# Cases Age [18-49],False,../../../covid19-data/DE/data/data.csv
# Cases Age [50-64],False,../../../covid19-data/DE/data/data.csv
# Cases Age [65+],False,../../../covid19-data/DE/data/data.csv
Total Hospitalized,False,../../../covid19-data/DE/data/data.csv
Total Cases: Critical Condition,False,../../../covid19-data/DE/data/data.csv
Total Cases: Male,False,../../../covid19-data/DE/data/data.csv
Total Cases: Female,False,../../../covid19-data/DE/data/data.csv
Scrape Time,False,../../../covid19-data/DE/data/data.csv
Entry Creation Date,False,../../../covid19-data/DE/data/data.csv
Edit Date,False,../../../covid19-data/DE/data/data.csv
Report Date,False,../../../covid19-data/DE/data/data.csv
County Number,False,../../../covid19-data/FL/data/data.csv
County Name,False,../../../covid19-data/FL/data/data.csv
PUIsTotal,False,../../../covid19-data/FL/data/data.csv
# Cases Age [0-4],False,../../../covid19-data/FL/data/data.csv
# Cases Age [5-14],False,../../../covid19-data/FL/data/data.csv
# Cases Age [15-24],False,../../../covid19-data/FL/data/data.csv
# Cases Age [25-34],False,../../../covid19-data/FL/data/data.csv
# Cases Age [35-44],False,../../../covid19-data/FL/data/data.csv
# Cases Age [45-54],False,../../../covid19-data/FL/data/data.csv
# Cases Age [55-64],False,../../../covid19-data/FL/data/data.csv
# Cases Age [65-74],False,../../../covid19-data/FL/data/data.csv
# Cases Age [75-84],False,../../../covid19-data/FL/data/data.csv
# Cases Age [85+],False,../../../covid19-data/FL/data/data.csv
# Cases Age [Unknown],False,../../../covid19-data/FL/data/data.csv
PUIAgeRange,False,../../../covid19-data/FL/data/data.csv
PUIAgeMedian,False,../../../covid19-data/FL/data/data.csv
PUIFemale,False,../../../covid19-data/FL/data/data.csv
PUIMale,False,../../../covid19-data/FL/data/data.csv
PUISexUnkn,False,../../../covid19-data/FL/data/data.csv
PUIFLRes,False,../../../covid19-data/FL/data/data.csv
PUINotFLRes,False,../../../covid19-data/FL/data/data.csv
PUIFLResOut,False,../../../covid19-data/FL/data/data.csv
