NAMELABEL,ALLFIPS,LAST_UPDATE,Total,F_0_9,M_0_9,T_0_9,F_10_19,M_10_19,T_10_19,F_20_29,M_20_29,T_20_29,F_30_39,M_30_39,T_30_39,F_40_49,M_40_49,T_40_49,F_50_59,M_50_59,T_50_59,F_60_69,M_60_69,T_60_69,F_70_79,M_70_79,T_70_79,F_80_89,M_80_89,T_80_89,F_90_99,M_90_99,T_90_99,F_100,M_100,T_100,Notes,Scrape_Time
Lewis and Clark,30049,2/6/19 19:00,10,0,0,0,0,1,1,0,0,0,1,2,3,1,1,2,1,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,06:59.0
Silver Bow,30093,12/30/09 19:00,9,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,1,2,3,1,4,0,1,1,0,0,0,0,0,0,0,0,0,,06:59.0
Cascade,30013,3/30/15 20:00,7,0,0,0,0,0,0,2,0,2,0,1,1,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,06:59.0
Flathead,30029,2/6/19 19:00,7,0,0,0,0,0,0,1,0,1,1,2,3,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"One reported case of an out of state resident, male 50-59",06:59.0
Toole,30101,12/30/09 19:00,5,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,,06:59.0
Madison,30057,2/6/19 19:00,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,,06:59.0
Broadwater,30007,9/8/15 20:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,06:59.0
Lincoln,30053,12/30/09 19:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,06:59.0
Park,30067,2/6/19 19:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,06:59.0
Jefferson,30043,9/8/15 20:00,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,06:59.0
Lake,30047,2/6/19 19:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,MT resident was exposed and isolated in Maryland,06:59.0
Deer Lodge,30023,9/8/15 20:00,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,06:59.0
Ravalli,30081,12/30/09 19:00,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,06:59.0
Meagher,30059,9/8/15 20:00,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,06:59.0
Roosevelt,30085,10/14/16 20:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,06:59.0
Hill,30041,12/30/09 19:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,06:59.0
Gallatin,30031,2/6/19 19:00,62,0,0,0,2,1,3,8,6,14,5,8,13,6,4,10,5,4,9,3,8,11,1,0,1,1,0,1,0,0,0,0,0,0,"Male in 60s is California resident, Male in 20s is New Hampshire resident",35:43.4
Yellowstone,30111,10/14/16 20:00,26,0,0,0,0,2,2,5,4,9,1,2,3,2,0,2,3,2,5,2,1,3,0,0,0,1,1,2,0,0,0,0,0,0,,35:43.4
Missoula,30063,2/6/19 19:00,11,0,0,0,0,0,0,1,2,3,1,0,1,1,1,2,0,3,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,,35:43.4
Lewis and Clark,30049,2/6/19 19:00,10,0,0,0,0,1,1,0,0,0,1,2,3,1,1,2,1,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,35:43.4
Silver Bow,30093,12/30/09 19:00,9,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,1,2,3,1,4,0,1,1,0,0,0,0,0,0,0,0,0,,35:43.4
Flathead,30029,2/6/19 19:00,8,0,0,0,0,0,0,1,0,1,1,2,3,0,0,0,1,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"One reported case of an out of state resident, male 50-59",35:43.4
Cascade,30013,3/30/15 20:00,7,0,0,0,0,0,0,2,0,2,0,1,1,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,35:43.4
Toole,30101,12/30/09 19:00,5,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,,35:43.4
Madison,30057,2/6/19 19:00,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,,35:43.4
Lincoln,30053,12/30/09 19:00,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,35:43.4
Broadwater,30007,9/8/15 20:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,35:43.4
Lake,30047,2/6/19 19:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,MT resident was exposed and isolated in Maryland,35:43.4
Park,30067,2/6/19 19:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,35:43.4
Jefferson,30043,9/8/15 20:00,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,35:43.4
Deer Lodge,30023,9/8/15 20:00,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,35:43.4
Ravalli,30081,12/30/09 19:00,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,35:43.4
Meagher,30059,9/8/15 20:00,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,35:43.4
Roosevelt,30085,10/14/16 20:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,35:43.4
Hill,30041,12/30/09 19:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,35:43.4
Gallatin,30031,2/6/19 19:00,69,0,0,0,2,1,3,8,6,14,5,8,13,7,5,12,5,6,11,5,9,14,1,0,1,1,0,1,0,0,0,0,0,0,"Male in 60s is California resident, Male in 20s is New Hampshire resident",37:31.4
Yellowstone,30111,10/14/16 20:00,28,0,0,0,0,2,2,5,4,9,1,2,3,2,1,3,4,2,6,2,1,3,0,0,0,1,1,2,0,0,0,0,0,0,,37:31.4
Missoula,30063,2/6/19 19:00,12,0,0,0,0,0,0,1,2,3,1,1,2,1,1,2,0,3,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,,37:31.4
Lewis and Clark,30049,2/6/19 19:00,11,0,0,0,0,1,1,0,0,0,1,2,3,1,1,2,1,2,3,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,,37:31.4
Silver Bow,30093,12/30/09 19:00,9,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,1,2,3,1,4,0,1,1,0,0,0,0,0,0,0,0,0,,37:31.4
Flathead,30029,2/6/19 19:00,9,0,0,0,0,0,0,1,0,1,1,2,3,0,1,1,1,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"One reported case of an out of state resident, male 50-59",37:31.4
Cascade,30013,3/30/15 20:00,7,0,0,0,0,0,0,2,0,2,0,1,1,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,37:31.4
Toole,30101,12/30/09 19:00,6,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,2,1,0,1,0,0,0,0,0,0,,37:31.4
Madison,30057,2/6/19 19:00,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,,37:31.4
Lincoln,30053,12/30/09 19:00,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,37:31.4
Park,30067,2/6/19 19:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,37:31.4
Deer Lodge,30023,9/8/15 20:00,3,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,37:31.4
Broadwater,30007,9/8/15 20:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,37:31.4
Lake,30047,2/6/19 19:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,MT resident was exposed and isolated in Maryland,37:31.4
Jefferson,30043,9/8/15 20:00,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,37:31.4
Ravalli,30081,12/30/09 19:00,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,37:31.4
Meagher,30059,9/8/15 20:00,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,37:31.4
Roosevelt,30085,10/14/16 20:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,37:31.4
Hill,30041,12/30/09 19:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,37:31.4
Gallatin,30031,2/6/19 19:00,69,0,0,0,2,1,3,8,6,14,5,8,13,7,5,12,5,6,11,5,9,14,1,0,1,1,0,1,0,0,0,0,0,0,"Male in 60s is California resident, Male in 20s is New Hampshire resident",58:20.1
Yellowstone,30111,10/14/16 20:00,28,0,0,0,0,2,2,5,4,9,1,2,3,2,1,3,4,2,6,2,1,3,0,0,0,1,1,2,0,0,0,0,0,0,,58:20.1
Missoula,30063,2/6/19 19:00,12,0,0,0,0,0,0,1,2,3,1,1,2,1,1,2,0,3,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,,58:20.1
Lewis and Clark,30049,2/6/19 19:00,11,0,0,0,0,1,1,0,0,0,1,2,3,1,1,2,1,2,3,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,,58:20.1
Silver Bow,30093,12/30/09 19:00,9,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,1,2,3,1,4,0,1,1,0,0,0,0,0,0,0,0,0,,58:20.1
Flathead,30029,2/6/19 19:00,9,0,0,0,0,0,0,1,0,1,1,2,3,0,1,1,1,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"One reported case of an out of state resident, male 50-59",58:20.1
Cascade,30013,3/30/15 20:00,7,0,0,0,0,0,0,2,0,2,0,1,1,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,58:20.1
Toole,30101,12/30/09 19:00,6,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,2,1,0,1,0,0,0,0,0,0,,58:20.1
Madison,30057,2/6/19 19:00,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,,58:20.1
Lincoln,30053,12/30/09 19:00,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,58:20.1
Park,30067,2/6/19 19:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,58:20.1
Deer Lodge,30023,9/8/15 20:00,3,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,58:20.1
Broadwater,30007,9/8/15 20:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,58:20.1
Lake,30047,2/6/19 19:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,MT resident was exposed and isolated in Maryland,58:20.1
Jefferson,30043,9/8/15 20:00,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,58:20.1
Ravalli,30081,12/30/09 19:00,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,58:20.1
Meagher,30059,9/8/15 20:00,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,58:20.1
Roosevelt,30085,10/14/16 20:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,58:20.1
Hill,30041,12/30/09 19:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,58:20.1
Gallatin,30031,2/6/19 19:00,69,0,0,0,2,1,3,8,6,14,5,8,13,7,5,12,5,6,11,5,9,14,1,0,1,1,0,1,0,0,0,0,0,0,"Male in 60s is California resident, Male in 20s is New Hampshire resident",06:25.0
Yellowstone,30111,10/14/16 20:00,28,0,0,0,0,2,2,5,4,9,1,2,3,2,1,3,4,2,6,2,1,3,0,0,0,1,1,2,0,0,0,0,0,0,,06:25.0
Missoula,30063,2/6/19 19:00,12,0,0,0,0,0,0,1,2,3,1,1,2,1,1,2,0,3,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,,06:25.0
Lewis and Clark,30049,2/6/19 19:00,11,0,0,0,0,1,1,0,0,0,1,2,3,1,1,2,1,2,3,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,,06:25.0
Silver Bow,30093,12/30/09 19:00,9,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,1,2,3,1,4,0,1,1,0,0,0,0,0,0,0,0,0,,06:25.0
Flathead,30029,2/6/19 19:00,9,0,0,0,0,0,0,1,0,1,1,2,3,0,1,1,1,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"One reported case of an out of state resident, male 50-59",06:25.0
Cascade,30013,3/30/15 20:00,7,0,0,0,0,0,0,2,0,2,0,1,1,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,06:25.0
Toole,30101,12/30/09 19:00,6,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,2,1,0,1,0,0,0,0,0,0,,06:25.0
Madison,30057,2/6/19 19:00,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,,06:25.0
Lincoln,30053,12/30/09 19:00,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,06:25.0
Park,30067,2/6/19 19:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,06:25.0
Deer Lodge,30023,9/8/15 20:00,3,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,06:25.0
Broadwater,30007,9/8/15 20:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,06:25.0
Lake,30047,2/6/19 19:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,MT resident was exposed and isolated in Maryland,06:25.0
Jefferson,30043,9/8/15 20:00,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,06:25.0
Ravalli,30081,12/30/09 19:00,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,06:25.0
Meagher,30059,9/8/15 20:00,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,06:25.0
Roosevelt,30085,10/14/16 20:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,06:25.0
Hill,30041,12/30/09 19:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,06:25.0
Gallatin,30031,2/6/19 19:00,69,0,0,0,2,1,3,8,6,14,5,8,13,7,5,12,5,6,11,5,9,14,1,0,1,1,0,1,0,0,0,0,0,0,"Male in 60s is California resident, Male in 20s is New Hampshire resident",13:51.5
Yellowstone,30111,10/14/16 20:00,28,0,0,0,0,2,2,5,4,9,1,2,3,2,1,3,4,2,6,2,1,3,0,0,0,1,1,2,0,0,0,0,0,0,,13:51.5
Missoula,30063,2/6/19 19:00,12,0,0,0,0,0,0,1,2,3,1,1,2,1,1,2,0,3,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,,13:51.5
Lewis and Clark,30049,2/6/19 19:00,11,0,0,0,0,1,1,0,0,0,1,2,3,1,1,2,1,2,3,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,,13:51.5
Silver Bow,30093,12/30/09 19:00,9,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,1,2,3,1,4,0,1,1,0,0,0,0,0,0,0,0,0,,13:51.5
Flathead,30029,2/6/19 19:00,9,0,0,0,0,0,0,1,0,1,1,2,3,0,1,1,1,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"One reported case of an out of state resident, male 50-59",13:51.5
Cascade,30013,3/30/15 20:00,7,0,0,0,0,0,0,2,0,2,0,1,1,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,13:51.5
Toole,30101,12/30/09 19:00,6,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,2,1,0,1,0,0,0,0,0,0,,13:51.5
Madison,30057,2/6/19 19:00,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,,13:51.5
Lincoln,30053,12/30/09 19:00,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,13:51.5
Park,30067,2/6/19 19:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,13:51.5
Deer Lodge,30023,9/8/15 20:00,3,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,13:51.5
Broadwater,30007,9/8/15 20:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,13:51.5
Lake,30047,2/6/19 19:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,MT resident was exposed and isolated in Maryland,13:51.5
Jefferson,30043,9/8/15 20:00,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,13:51.5
Ravalli,30081,12/30/09 19:00,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,13:51.5
Meagher,30059,9/8/15 20:00,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,13:51.5
Roosevelt,30085,10/14/16 20:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,13:51.5
Hill,30041,12/30/09 19:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,13:51.5
Gallatin,30031,2/6/19 19:00,69,0,0,0,2,1,3,8,6,14,5,8,13,7,5,12,5,6,11,5,9,14,1,0,1,1,0,1,0,0,0,0,0,0,"Male in 60s is California resident, Male in 20s is New Hampshire resident",17:58.6
Yellowstone,30111,10/14/16 20:00,28,0,0,0,0,2,2,5,4,9,1,2,3,2,1,3,4,2,6,2,1,3,0,0,0,1,1,2,0,0,0,0,0,0,,17:58.6
Missoula,30063,2/6/19 19:00,12,0,0,0,0,0,0,1,2,3,1,1,2,1,1,2,0,3,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,,17:58.6
Lewis and Clark,30049,2/6/19 19:00,11,0,0,0,0,1,1,0,0,0,1,2,3,1,1,2,1,2,3,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,,17:58.6
Silver Bow,30093,12/30/09 19:00,9,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,1,2,3,1,4,0,1,1,0,0,0,0,0,0,0,0,0,,17:58.6
Flathead,30029,2/6/19 19:00,9,0,0,0,0,0,0,1,0,1,1,2,3,0,1,1,1,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"One reported case of an out of state resident, male 50-59",17:58.6
