# Cases Age [0-19],# Cases Age [20-29],# Cases Age [30-39],# Cases Age [40-49],# Cases Age [50-59],# Cases Age [60-69],# Cases Age [70-79],# Cases Age [80+],# Cases Race/Ethnicity: American Indian or Alaska Native,# Cases Race/Ethnicity: Asian,# Cases Race/Ethnicity: Black or African American,# Cases Race/Ethnicity: Hispanic or Latino,# Cases Race/Ethnicity: Native Hawaiian or Other Pacific Islander,# Cases Race/Ethnicity: Not Hispanic or Latino,# Cases Race/Ethnicity: Other Race,# Cases Race/Ethnicity: Two or more,# Cases Race/Ethnicity: Unknown Ethnicity,# Cases Race/Ethnicity: Unknown Race,# Cases Race/Ethnicity: White,% Cases Age [0-19],% Cases Age [20-29],% Cases Age [30-39],% Cases Age [40-49],% Cases Age [50-59],% Cases Age [60-69],% Cases Age [70-79],% Cases Age [80+],Scrape_Time,Total Cases: Female,Total Cases: Male,Total Confirmed Cases: Female,Total Confirmed Cases: Male,Total Deaths: Female,Total Deaths: Male,Total Hospitalized: Female,Total Hospitalized: Male,Total Probable Cases: Female,Total Probable Cases: Male,Total Recovered: Female,Total Recovered: Male
368,651,617,600,659,471,322,326,7,104,887,168,2,3207,120,31,639,389,2474,9.2,16.2,15.4,14.9,16.4,11.7,8.0,8.1,2020-08-07 20:12:58.996699,2078,1936,1850,1749,64,60,172,221,228,187,1817,1662
368,656,619,601,663,471,322,326,7,104,891,168,2,3216,121,28,642,390,2483,9.1,16.3,15.4,14.9,16.5,11.7,8.0,8.1,2020-08-08 20:10:15.790878,2082,1944,1853,1756,64,61,172,221,229,188,1829,1675
371,659,621,601,667,474,323,326,7,105,892,168,2,3228,121,29,646,393,2493,9.2,16.3,15.4,14.9,16.5,11.7,8.0,8.1,2020-08-09 20:20:31.818259,2092,1950,1863,1762,64,61,172,221,229,188,1833,1679
372,659,623,600,670,473,324,328,7,105,891,169,2,3237,121,29,643,387,2507,9.2,16.3,15.4,14.8,16.5,11.7,8.0,8.1,2020-08-10 20:12:16.314583,2096,1953,1873,1768,64,61,172,221,223,185,1845,1692
372,661,624,600,670,472,324,327,7,105,893,169,2,3245,122,29,636,381,2511,9.2,16.3,15.4,14.8,16.5,11.7,8.0,8.1,2020-08-11 20:12:46.194999,2099,1951,1877,1767,65,61,173,221,222,184,1858,1702
376,662,630,603,671,473,327,328,7,105,893,171,2,3259,122,30,639,384,2526,9.2,16.3,15.5,14.8,16.5,11.6,8.0,8.1,2020-08-12 20:38:37.793818,2104,1966,1883,1779,65,61,173,221,221,187,1869,1710
391,667,640,608,673,475,331,330,7,107,902,176,2,3298,125,32,641,389,2551,9.5,16.2,15.6,14.8,16.4,11.5,8.0,8.0,2020-08-14 10:29:48.519369,2131,1982,1907,1790,65,61,174,225,224,192,1886,1718
391,667,640,608,673,475,331,330,7,107,902,176,2,3298,125,32,641,389,2551,9.5,16.2,15.6,14.8,16.4,11.5,8.0,8.0,2020-08-14 20:13:39.189455,2131,1982,1907,1790,65,61,174,225,224,192,1886,1718
400,672,641,610,676,477,335,333,7,107,907,177,2,3325,125,33,642,388,2575,9.7,16.2,15.5,14.7,16.3,11.5,8.1,8.0,2020-08-15 20:14:51.154746,2148,1995,1925,1801,65,62,174,225,223,194,1892,1724
404,677,644,614,679,480,336,334,7,107,910,178,2,3346,127,33,644,390,2592,9.7,16.2,15.5,14.7,16.3,11.5,8.1,8.0,2020-08-16 20:26:43.365161,2164,2003,1939,1808,65,62,174,226,225,195,1896,1728
411,677,649,620,685,Ag4,337,334,7,108,914,178,2,3374,129,29,645,389,2619,9.8,16.1,15.5,14.8,16.3,11.5,8.0,8.0,2020-08-17 20:21:03.944853,2185,2012,1954,1813,65,62,173,226,231,199,1904,1734
419,681,648,620,688,Ag4,339,334,8,108,919,179,2,3388,129,30,646,389,2628,9.9,16.2,15.4,14.7,16.3,11.5,8.0,7.9,2020-08-18 20:07:12.540302,2192,2021,1961,1820,65,62,174,227,231,201,1910,1739
418,685,647,624,693,487,345,335,8,108,920,179,2,3408,129,30,647,390,2647,9.9,16.2,15.3,14.7,16.4,11.5,8.1,7.9,2020-08-19 20:20:22.677761,2205,2029,1973,1826,65,62,174,229,232,203,1917,1745
421,690,649,625,698,488,346,336,8,108,921,181,2,3427,129,29,645,388,2668,9.9,16.2,15.3,14.7,16.4,11.5,8.1,7.9,2020-08-20 20:21:49.979461,2211,2042,1976,1836,66,62,175,230,235,206,1926,1753
422,699,653,632,702,493,347,337,8,108,922,183,2,3453,132,31,649,390,2692,9.8,16.3,15.2,14.7,16.4,11.5,8.1,7.9,2020-08-21 22:11:40.539045,2228,2057,1995,1852,67,62,175,232,233,205,1936,1762
426,705,654,640,706,499,347,340,8,108,922,184,2,3476,134,32,657,395,2716,9.9,16.3,15.1,14.8,16.4,11.6,8.0,7.9,2020-08-22 19:21:05.760930,2241,2076,2006,1866,67,63,175,232,235,210,1945,1773
431,708,657,641,707,500,350,341,8,108,922,184,2,3491,135,32,660,396,2732,9.9,16.3,15.2,14.8,16.3,11.5,8.1,7.9,2020-08-23 20:16:21.447128,2249,2086,2014,1876,68,63,175,233,235,210,1949,1785
435,712,664,642,710,501,350,342,9,107,925,184,2,3507,134,18,665,397,2764,10.0,16.3,15.2,14.7,16.3,11.5,8.0,7.9,2020-08-24 19:27:44.692727,2257,2099,2022,1888,68,63,176,233,235,211,1966,1796
439,715,666,644,710,502,350,342,9,107,925,184,2,3517,134,18,667,395,2778,10.1,16.4,15.2,14.7,16.3,11.5,8.0,7.8,2020-08-25 20:19:42.144425,2265,2103,2027,1892,68,63,177,233,238,211,1981,1803
441,719,669,646,716,504,351,343,9,107,925,185,2,3531,135,20,673,395,2796,10.0,16.4,15.2,14.7,16.3,11.5,8.0,7.8,2020-08-26 20:24:02.763797,2273,2116,2038,1904,69,63,178,234,235,212,2005,1813
445,724,671,652,718,510,351,343,9,107,926,186,2,3549,135,19,678,399,2816,10.1,16.4,15.2,14.8,16.3,11.6,8.0,7.8,2020-08-27 20:13:55.744297,2284,2130,2044,1917,69,63,179,236,240,213,2019,1828
452,727,676,654,720,512,352,343,10,107,927,189,2,3566,135,20,681,401,2834,10.2,16.4,15.2,14.7,16.2,11.5,7.9,7.7,2020-08-28 20:04:47.688221,2298,2138,2055,1926,69,63,180,237,243,212,2040,1847
453,743,692,662,727,515,354,343,10,109,933,190,2,3576,135,19,723,431,2850,10.1,16.6,15.4,14.7,16.2,11.5,7.9,7.6,2020-08-29 20:08:13.456384,2307,2182,2064,1968,69,63,181,237,243,214,2047,1852
457,746,697,666,728,519,354,345,10,109,934,190,2,3606,135,19,716,423,2880,10.1,16.5,15.4,14.8,16.1,11.5,7.8,7.6,2020-08-30 19:59:27.825137,2318,2194,2072,1975,69,63,182,238,246,219,2046,1864
458,751,700,665,730,520,356,346,10,109,934,190,2,3620,134,19,716,422,2896,10.1,16.6,15.5,14.7,16.1,11.5,7.9,7.6,2020-08-31 21:30:49.812302,2325,2201,2079,1981,69,63,182,238,246,220,2050,1873
463,758,707,666,731,521,356,346,10,109,934,191,2,3630,135,20,727,432,2906,10.2,16.7,15.5,14.6,16.1,11.5,7.8,7.6,2020-09-01 20:29:37.637483,2336,2212,2088,1993,69,63,183,238,248,219,2061,1884
465,765,710,667,733,525,356,346,9,110,934,191,2,3654,135,20,722,432,2925,10.2,16.8,15.5,14.6,16.0,11.5,7.8,7.6,2020-09-02 20:15:53.245853,2342,2225,2097,2003,69,64,183,240,245,222,2076,1902
468,788,713,671,742,529,358,348,9,110,939,189,2,3688,138,20,740,444,2955,10.1,17.1,15.4,14.5,16.1,11.5,7.8,7.5,2020-09-03 21:10:19.126864,2360,2257,2111,2034,69,64,184,240,249,223,2080,1908
473.0,789.0,716.0,673.0,746.0,528.0,359.0,348.0,9,110,939,190,2,3702,139,20,740,446,2967,10.2,17.0,15.5,14.5,16.1,11.4,7.8,7.5,2020-09-04 21:00:37.720230,2369,2263,2121,2043,70,64,184,239,248,220,2088,1918
481.0,797.0,720.0,677.0,753.0,532.0,359.0,348.0,9,110,941,190,2,3732,140,22,745,447,2996,10.3,17.1,15.4,14.5,16.1,11.4,7.7,7.5,2020-09-05 20:19:09.731229,2381,2286,2133,2064,70,64,184,240,248,222,2102,1935
483.0,799.0,721.0,680.0,756.0,536.0,359.0,348.0,9,110,942,191,2,3749,139,22,742,446,3012,10.3,17.1,15.4,14.5,16.1,11.4,7.7,7.5,2020-09-06 20:19:41.783369,2389,2293,2139,2071,70,64,184,240,250,222,2105,1944
483.0,805.0,724.0,685.0,759.0,536.0,360.0,349.0,9,110,943,191,2,3765,139,21,745,447,3030,10.3,17.1,15.4,14.6,16.1,11.4,7.7,7.4,2020-09-07 20:41:43.510615,2397,2304,2147,2083,70,64,186,241,250,221,2117,1959
486.0,804.0,725.0,689.0,762.0,536.0,361.0,350.0,9,111,945,191,2,3778,139,20,744,446,3041,10.3,17.1,15.4,14.6,16.2,11.4,7.7,7.4,2020-09-08 20:15:54.462924,2401,2312,2153,2091,70,64,188,241,248,221,2121,1965
492.0,807.0,728.0,691.0,766.0,537.0,362.0,351.0,9,111,946,192,2,3805,140,20,737,439,3067,10.4,17.0,15.4,14.6,16.2,11.3,7.6,7.4,2020-09-09 20:15:25.247909,2409,2325,2156,2102,70,64,188,241,253,223,2144,1991
493.0,807.0,731.0,696.0,777.0,543.0,362.0,351.0,9,111,950,192,2,3833,139,20,735,436,3093,10.4,17.0,15.4,14.6,16.3,11.4,7.6,7.4,2020-09-10 20:42:13.258548,2421,2339,2170,2117,70,64,189,242,251,222,2145,2008
498.0,811.0,735.0,699.0,784.0,545.0,367.0,353.0,9,111,950,194,3,3866,139,20,732,434,3126,10.4,16.9,15.3,14.6,16.4,11.4,7.7,7.4,2020-09-11 20:39:42.238850,2439,2353,2187,2130,70,64,189,243,252,223,2155,2036
504.0,820.0,739.0,706.0,791.0,549.0,370.0,355.0,9,111,950,195,3,3903,140,20,736,437,3164,10.4,17.0,15.3,14.6,16.4,11.4,7.7,7.3,2020-09-12 20:26:10.605852,2464,2370,2206,2143,71,64,188,243,258,227,2164,2047
507.0,826.0,741.0,711.0,798.0,552.0,372.0,356.0,9,111,954,195,3,3923,139,22,745,441,3184,10.4,17.0,15.2,14.6,16.4,11.4,7.6,7.3,2020-09-13 20:29:57.981731,2478,2385,2219,2157,72,64,188,243,259,228,2172,2054
512.0,831.0,747.0,716.0,799.0,560.0,375.0,363.0,9,111,959,196,3,3943,139,22,764,450,3210,10.4,16.9,15.2,14.6,16.3,11.4,7.6,7.4,2020-09-14 20:35:25.794298,2506,2397,2236,2165,72,64,188,243,270,232,2175,2062
521.0,831.0,748.0,718.0,800.0,560.0,377.0,363.0,9,112,959,198,3,3963,139,22,757,443,3231,10.6,16.9,15.2,14.6,16.3,11.4,7.7,7.4,2020-09-16 09:23:37.662463,2511,2407,2240,2175,73,64,188,244,271,232,2191,2089
