county,todays_date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds
Butte,6/25/20,6,0,6,448,2,0,5
San Joaquin,6/25/20,101,36,137,1384,25,7,50
Santa Cruz,6/25/20,6,7,13,397,1,1,9
Glenn,6/25/20,0,0,0,47,0,0,
Marin,6/25/20,14,2,16,390,5,1,13
Mendocino,6/25/20,0,0,0,180,0,0,4
Colusa,6/25/20,1,0,1,88,0,0,6
Riverside,6/25/20,319,141,460,4010,105,23,86
Sacramento,6/25/20,73,24,97,2491,20,4,93
Humboldt,6/25/20,1,2,3,352,1,2,1
Santa Clara,6/25/20,68,14,82,3438,26,0,186
Trinity,6/25/20,0,2,2,54,0,0,
Imperial,6/25/20,76,1,77,237,16,0,6
Santa Barbara,6/25/20,55,4,59,717,24,2,50
Madera,6/25/20,9,4,13,528,3,0,10
Nevada,6/25/20,3,1,4,121,3,1,3
Napa,6/25/20,5,0,5,397,4,0,5
Modoc,6/25/20,0,0,0,41,0,0,
Mono,6/25/20,0,0,0,40,0,0,2
Merced,6/25/20,13,1,14,242,6,0,1
Sutter,6/25/20,0,0,0,14,0,0,
Orange,6/25/20,451,95,546,6976,166,23,383
Calaveras,6/25/20,1,1,2,50,1,0,9
San Diego,6/25/20,368,57,425,6148,154,14,294
Amador,6/25/20,0,0,0,51,0,0,1
Del Norte,6/25/20,1,0,1,51,1,0,1
San Luis Obispo,6/25/20,7,1,8,477,4,0,35
Ventura,6/25/20,60,38,98,1357,16,6,57
Yolo,6/25/20,6,0,6,186,4,0,1
Alameda,6/26/20,92,41,133,2968,35,9,123
Amador,6/26/20,0,0,0,51,0,0,0
Merced,6/26/20,15,0,15,242,5,0,4
Modoc,6/26/20,0,1,1,41,0,0,
Trinity,6/26/20,0,1,1,54,0,0,
Lake,6/26/20,0,1,1,110,0,1,1
Kings,6/26/20,58,0,58,199,6,0,6
Santa Clara,6/26/20,66,16,82,3438,26,0,188
San Mateo,6/26/20,20,1,21,1089,8,0,55
Sacramento,6/26/20,73,10,83,2510,19,2,78
San Diego,6/26/20,362,65,427,6176,158,13,310
Solano,6/26/20,28,5,33,707,8,0,39
Orange,6/26/20,467,93,560,6976,179,20,396
Riverside,6/26/20,339,135,474,4028,98,19,103
San Luis Obispo,6/26/20,7,1,8,471,2,0,36
Marin,6/26/20,13,8,21,390,5,0,13
San Bernardino,6/26/20,349,97,446,4821,122,11,115
El Dorado,6/26/20,1,0,1,235,1,0,9
Lassen,6/26/20,0,0,0,25,0,0,
Tuolumne,6/26/20,1,0,1,151,0,0,2
Contra Costa,6/26/20,42,23,65,1579,10,2,132
San Benito,6/26/20,0,0,0,25,0,0,1
Sutter,6/26/20,0,0,0,14,0,0,
Mendocino,6/26/20,0,0,0,180,0,0,6
Imperial,6/26/20,71,3,74,237,15,0,10
Nevada,6/26/20,1,5,6,124,1,1,4
Santa Cruz,6/26/20,8,6,14,397,1,0,9
Stanislaus,6/26/20,101,21,122,1369,35,2,84
Monterey,6/26/20,17,2,19,824,10,0,81
Tulare,6/26/20,58,8,66,835,12,0,11
Sonoma,6/26/20,8,4,12,871,4,1,50
Fresno,6/26/20,107,50,157,2018,24,4,73
San Francisco,6/26/20,54,14,68,2647,18,4,89
Butte,6/26/20,6,0,6,448,1,0,11
San Joaquin,6/26/20,116,36,152,1430,29,6,44
Kern,6/26/20,136,11,147,1742,46,2,73
Shasta,6/26/20,5,1,6,667,2,0,3
Inyo,6/26/20,0,0,0,42,0,0,4
Placer,6/26/20,8,5,13,753,3,0,33
Calaveras,6/26/20,1,1,2,50,1,0,10
Tehama,6/26/20,0,0,0,106,0,0,5
Plumas,6/26/20,0,0,0,45,0,0,
Humboldt,6/26/20,2,3,5,352,0,0,2
Madera,6/26/20,11,2,13,528,0,0,15
Glenn,6/26/20,0,1,1,47,0,0,
Mariposa,6/26/20,0,0,0,30,0,0,
Colusa,6/26/20,1,0,1,88,0,0,6
Los Angeles,6/26/20,1717,579,2296,23565,446,79,1289
Yolo,6/26/20,6,0,6,186,4,0,3
Del Norte,6/26/20,1,0,1,51,1,0,2
Santa Barbara,6/26/20,53,6,59,717,20,1,74
Siskiyou,6/26/20,0,0,0,65,0,0,3
Napa,6/26/20,6,1,7,397,5,0,6
Yuba,6/26/20,5,1,6,445,1,0,15
Ventura,6/26/20,62,38,100,1355,18,6,57
Mono,6/26/20,0,0,0,40,0,0,1
Mono,6/27/20,0,0,0,40,0,0,2
Siskiyou,6/27/20,0,0,0,65,0,0,5
Amador,6/27/20,0,0,0,51,0,0,0
Santa Clara,6/27/20,77,18,95,3438,28,1,185
Shasta,6/27/20,5,0,5,667,1,0,3
Yolo,6/27/20,5,1,6,186,1,1,4
Stanislaus,6/27/20,98,31,129,1364,33,2,86
Butte,6/27/20,5,0,5,448,2,0,5
Santa Cruz,6/27/20,9,6,15,397,1,0,4
Calaveras,6/27/20,1,0,1,50,1,0,9
San Bernardino,6/27/20,353,79,432,4821,130,9,124
Sacramento,6/27/20,77,17,94,2438,20,8,79
Yuba,6/27/20,6,0,6,445,1,0,8
Tuolumne,6/27/20,1,1,2,151,0,1,3
Contra Costa,6/27/20,38,25,63,1579,10,3,130
Tehama,6/27/20,0,0,0,106,0,0,3
Riverside,6/27/20,340,145,485,3980,108,23,88
Sonoma,6/27/20,10,3,13,871,5,3,49
San Joaquin,6/27/20,126,28,154,1430,30,7,47
Placer,6/27/20,11,3,14,753,3,0,36
Glenn,6/27/20,0,1,1,47,0,0,
Solano,6/27/20,31,5,36,707,9,0,39
Modoc,6/27/20,0,0,0,41,0,0,
El Dorado,6/27/20,1,1,2,235,1,1,9
Lassen,6/27/20,0,0,0,25,0,0,
Madera,6/27/20,12,10,22,528,0,0,15
Nevada,6/27/20,1,3,4,126,1,1,7
Ventura,6/27/20,65,41,106,1348,16,9,46
Del Norte,6/27/20,1,0,1,51,0,0,0
San Benito,6/27/20,0,0,0,25,0,0,2
Colusa,6/27/20,1,1,2,88,0,0,6
San Mateo,6/27/20,23,4,27,1089,8,1,54
Marin,6/27/20,12,2,14,390,5,0,16
Trinity,6/27/20,0,1,1,54,0,0,
Monterey,6/27/20,19,2,21,824,11,0,84
Fresno,6/27/20,111,53,164,2016,27,2,73
Napa,6/27/20,7,1,8,397,5,0,1
Kings,6/27/20,54,1,55,199,6,0,5
Inyo,6/27/20,0,0,0,42,0,0,3
Lake,6/27/20,0,3,3,110,0,2,0
San Luis Obispo,6/27/20,8,3,11,470,2,0,38
San Francisco,6/27/20,56,16,72,2647,21,4,103
Merced,6/27/20,15,0,15,242,6,0,3
Los Angeles,6/27/20,1710,606,2316,23683,443,80,1244
Orange,6/27/20,492,103,595,6976,170,22,401
Mariposa,6/27/20,0,0,0,30,0,0,
Alameda,6/27/20,99,40,139,2968,36,11,115
Mendocino,6/27/20,0,0,0,180,0,0,5
Santa Barbara,6/27/20,60,5,65,717,21,1,70
Imperial,6/27/20,77,2,79,237,17,0,8
Humboldt,6/27/20,1,3,4,352,0,1,1
Kern,6/27/20,142,34,176,1742,42,10,70
Tulare,6/27/20,54,7,61,835,10,0,13
Plumas,6/27/20,0,0,0,45,0,0,
San Diego,6/27/20,363,74,437,5950,154,14,320
Sutter,6/27/20,0,0,0,14,0,0,
Contra Costa,6/28/20,32,18,50,1579,13,5,130
Modoc,6/28/20,0,0,0,41,0,0,
Marin,6/28/20,15,4,19,390,5,0,16
Mendocino,6/28/20,0,0,0,180,0,0,5
Butte,6/28/20,5,0,5,448,2,0,4
San Luis Obispo,6/28/20,8,2,10,458,2,0,38
El Dorado,6/28/20,1,3,4,235,1,3,6
Stanislaus,6/28/20,108,28,136,1365,36,2,83
San Diego,6/28/20,373,85,458,5865,160,18,314
Imperial,6/28/20,72,2,74,237,17,0,1
Sonoma,6/28/20,11,1,12,871,6,1,48
San Francisco,6/28/20,59,10,69,2647,22,3,103
Santa Barbara,6/28/20,66,3,69,717,21,0,73
Monterey,6/28/20,26,0,26,824,10,0,79
Alameda,6/28/20,102,39,141,2968,35,10,124
Tulare,6/28/20,66,5,71,835,12,0,5
Tehama,6/28/20,0,0,0,106,0,0,2
Sutter,6/28/20,0,0,0,14,0,0,
Riverside,6/28/20,367,115,482,3976,106,18,96
San Bernardino,6/28/20,376,83,459,4821,135,12,124
Shasta,6/28/20,8,2,10,667,1,0,7
Humboldt,6/28/20,1,3,4,352,0,1,1
Amador,6/28/20,0,0,0,51,0,0,0
Nevada,6/28/20,1,3,4,125,1,2,2
Sacramento,6/28/20,87,19,106,2435,21,9,70
Fresno,6/28/20,118,48,166,2012,30,1,68
Kings,6/28/20,53,1,54,199,6,0,1
Napa,6/28/20,7,3,10,397,5,2,6
Santa Clara,6/28/20,83,22,105,3438,32,1,187
Orange,6/28/20,485,110,595,6976,175,18,417
San Benito,6/28/20,0,0,0,25,0,0,3
Merced,6/28/20,19,0,19,242,6,0,2
Los Angeles,6/28/20,1783,682,2465,23562,469,97,1320
Yolo,6/28/20,3,1,4,186,1,1,1
Inyo,6/28/20,0,0,0,42,0,0,3
Tuolumne,6/28/20,1,0,1,151,0,0,1
Siskiyou,6/28/20,0,0,0,65,0,0,4
Lassen,6/28/20,0,0,0,25,0,0,
Madera,6/28/20,9,7,16,528,0,1,15
Colusa,6/28/20,0,0,0,88,0,0,6
Glenn,6/28/20,0,1,1,47,0,0,
Santa Cruz,6/28/20,9,10,19,397,0,0,7
Calaveras,6/28/20,1,1,2,50,1,0,10
Mariposa,6/28/20,0,0,0,30,0,0,
San Mateo,6/28/20,27,5,32,1089,11,0,54
Lake,6/28/20,2,0,2,110,2,0,1
Plumas,6/28/20,0,0,0,45,0,0,
Ventura,6/28/20,66,32,98,1348,21,8,62
Del Norte,6/28/20,1,1,2,51,1,1,0
Trinity,6/28/20,0,4,4,54,0,0,
Placer,6/28/20,13,5,18,753,4,0,33
Kern,6/28/20,146,9,155,1742,53,1,75
Solano,6/28/20,30,5,35,707,7,0,39
Yuba,6/28/20,7,0,7,445,1,0,17
Mono,6/28/20,0,0,0,40,0,0,2
San Joaquin,6/28/20,129,31,160,1430,34,6,52
Fresno,6/29/20,116,54,170,2005,30,2,76
El Dorado,6/29/20,1,1,2,235,1,1,9
San Joaquin,6/29/20,133,26,159,1430,35,3,53
Stanislaus,6/29/20,113,29,142,1363,35,3,74
Yolo,6/29/20,3,1,4,186,1,0,1
Napa,6/29/20,7,3,10,397,6,2,0
Orange,6/29/20,510,114,624,6976,176,24,410
Plumas,6/29/20,0,0,0,45,0,0,
Nevada,6/29/20,3,4,7,127,2,1,1
Imperial,6/29/20,70,2,72,237,16,0,5
Sonoma,6/29/20,11,1,12,871,7,1,50
Humboldt,6/29/20,0,3,3,352,0,1,2
Glenn,6/29/20,0,0,0,47,0,0,
Siskiyou,6/29/20,0,0,0,65,0,0,4
Tehama,6/29/20,0,0,0,106,0,0,1
Colusa,6/29/20,0,0,0,88,0,0,6
Yuba,6/29/20,8,0,8,445,3,0,11
Ventura,6/29/20,74,37,111,1346,26,4,45
Inyo,6/29/20,0,0,0,42,0,0,2
Riverside,6/29/20,405,102,507,4001,109,21,111
Sutter,6/29/20,0,0,0,14,0,0,
Mendocino,6/29/20,0,0,0,180,0,0,3
San Mateo,6/29/20,33,8,41,1089,15,1,55
San Diego,6/29/20,395,98,493,5848,156,26,324
Kern,6/29/20,151,9,160,1742,53,2,74
San Francisco,6/29/20,63,16,79,2647,22,4,120
Del Norte,6/29/20,1,0,1,51,1,0,0
Marin,6/29/20,25,4,29,390,8,1,8
Kings,6/29/20,55,1,56,199,6,0,2
San Luis Obispo,6/29/20,9,6,15,455,2,1,42
Mariposa,6/29/20,0,0,0,30,0,0,
Tuolumne,6/29/20,1,0,1,151,0,0,0
Mono,6/29/20,0,0,0,40,0,0,2
San Bernardino,6/29/20,393,85,478,4821,138,10,140
Trinity,6/29/20,0,5,5,54,0,0,
Modoc,6/29/20,0,0,0,41,0,0,
Shasta,6/29/20,9,3,12,667,1,0,7
Lassen,6/29/20,0,0,0,25,0,0,
Butte,6/29/20,6,1,7,448,2,1,9
Calaveras,6/29/20,1,1,2,50,1,0,10
Tulare,6/29/20,74,6,80,835,13,0,12
Contra Costa,6/29/20,37,24,61,1579,14,5,142
Merced,6/29/20,16,2,18,242,6,0,3
Santa Barbara,6/29/20,62,8,70,717,19,2,79
Alameda,6/29/20,111,35,146,2968,38,6,138
Los Angeles,6/29/20,1889,622,2511,23622,504,91,1239
San Benito,6/29/20,0,0,0,25,0,0,1
Lake,6/29/20,2,0,2,110,2,0,1
Sacramento,6/29/20,98,32,130,2430,28,6,80
Amador,6/29/20,1,0,1,51,1,0,1
Placer,6/29/20,13,9,22,753,4,1,33
Madera,6/29/20,9,6,15,528,0,0,16
Santa Clara,6/29/20,87,18,105,3438,31,2,190
Monterey,6/29/20,33,2,35,824,7,1,84
Santa Cruz,6/29/20,10,6,16,397,1,0,12
Solano,6/29/20,39,5,44,707,8,0,42
Orange,06/30/20,542.0,120.0,662.0,6976.0,192.0,20.0,386.0
San Luis Obispo,06/30/20,9.0,3.0,12.0,456.0,3.0,1.0,42.0
Stanislaus,06/30/20,118.0,52.0,170.0,1363.0,35.0,4.0,78.0
San Joaquin,06/30/20,140.0,56.0,196.0,1430.0,37.0,8.0,42.0
Imperial,06/30/20,72.0,2.0,74.0,237.0,18.0,0.0,3.0
Yuba,06/30/20,5.0,0.0,5.0,445.0,3.0,0.0,8.0
Colusa,06/30/20,1.0,2.0,3.0,88.0,0.0,0.0,6.0
Tehama,06/30/20,0.0,0.0,0.0,106.0,0.0,0.0,1.0
Siskiyou,06/30/20,0.0,0.0,0.0,65.0,0.0,0.0,6.0
Modoc,06/30/20,0.0,0.0,0.0,41.0,0.0,0.0,nan
Shasta,06/30/20,10.0,2.0,12.0,667.0,2.0,0.0,9.0
Butte,06/30/20,6.0,0.0,6.0,448.0,2.0,0.0,9.0
Alameda,06/30/20,116.0,41.0,157.0,2968.0,43.0,6.0,143.0
Kern,06/30/20,163.0,12.0,175.0,1742.0,60.0,1.0,69.0
Lake,06/30/20,3.0,2.0,5.0,110.0,1.0,2.0,1.0
Solano,06/30/20,41.0,5.0,46.0,707.0,13.0,0.0,36.0
Mendocino,06/30/20,0.0,0.0,0.0,180.0,0.0,0.0,4.0
San Bernardino,06/30/20,406.0,85.0,491.0,4821.0,142.0,21.0,120.0
Santa Clara,06/30/20,81.0,12.0,93.0,3438.0,33.0,1.0,177.0
Santa Barbara,06/30/20,64.0,6.0,70.0,717.0,20.0,1.0,73.0
Ventura,06/30/20,76.0,43.0,119.0,1346.0,22.0,12.0,43.0
Mariposa,06/30/20,0.0,0.0,0.0,30.0,0.0,0.0,nan
San Francisco,06/30/20,68.0,12.0,80.0,2647.0,28.0,5.0,113.0
Riverside,06/30/20,419.0,112.0,531.0,4001.0,117.0,21.0,105.0
Yolo,06/30/20,4.0,1.0,5.0,186.0,1.0,1.0,0.0
El Dorado,06/30/20,3.0,1.0,4.0,235.0,1.0,1.0,3.0
Sonoma,06/30/20,11.0,4.0,15.0,871.0,7.0,1.0,50.0
Merced,06/30/20,15.0,1.0,16.0,242.0,4.0,1.0,3.0
Tuolumne,06/30/20,1.0,0.0,1.0,151.0,0.0,0.0,1.0
Humboldt,06/30/20,1.0,3.0,4.0,352.0,0.0,1.0,1.0
Trinity,06/30/20,0.0,0.0,0.0,54.0,0.0,0.0,nan
Sacramento,06/30/20,106.0,21.0,127.0,2451.0,29.0,2.0,86.0
Del Norte,06/30/20,1.0,0.0,1.0,51.0,1.0,0.0,0.0
Tulare,06/30/20,73.0,6.0,79.0,835.0,14.0,0.0,11.0
Contra Costa,06/30/20,41.0,20.0,61.0,1579.0,17.0,6.0,140.0
San Mateo,06/30/20,40.0,7.0,47.0,1089.0,18.0,1.0,49.0
Lassen,06/30/20,0.0,0.0,0.0,25.0,0.0,0.0,nan
Mono,06/30/20,0.0,0.0,0.0,40.0,0.0,0.0,2.0
Santa Cruz,06/30/20,10.0,6.0,16.0,397.0,1.0,0.0,15.0
Madera,06/30/20,8.0,2.0,10.0,528.0,0.0,0.0,17.0
Kings,06/30/20,41.0,0.0,41.0,199.0,4.0,0.0,2.0
Sutter,06/30/20,0.0,0.0,0.0,14.0,0.0,0.0,nan
Nevada,06/30/20,4.0,3.0,7.0,121.0,2.0,0.0,4.0
Calaveras,06/30/20,1.0,2.0,3.0,50.0,1.0,1.0,10.0
Plumas,06/30/20,0.0,0.0,0.0,45.0,0.0,0.0,nan
Marin,06/30/20,25.0,4.0,29.0,390.0,10.0,1.0,5.0
Napa,06/30/20,7.0,2.0,9.0,397.0,7.0,1.0,1.0
San Diego,06/30/20,391.0,62.0,453.0,6164.0,158.0,15.0,335.0
San Benito,06/30/20,1.0,0.0,1.0,25.0,0.0,0.0,0.0
Monterey,06/30/20,36.0,5.0,41.0,824.0,7.0,0.0,89.0
Los Angeles,06/30/20,1893.0,645.0,2538.0,23639.0,526.0,102.0,1170.0
Fresno,06/30/20,129.0,42.0,171.0,2016.0,33.0,4.0,74.0
Placer,06/30/20,13.0,11.0,24.0,753.0,4.0,1.0,35.0
Amador,06/30/20,1.0,1.0,2.0,51.0,1.0,0.0,0.0
Glenn,06/30/20,0.0,0.0,0.0,47.0,0.0,0.0,nan
Inyo,06/30/20,0.0,0.0,0.0,42.0,0.0,0.0,3.0
Stanislaus,07/01/20,121.0,61.0,182.0,1372.0,38.0,6.0,82.0
San Benito,07/01/20,1.0,0.0,1.0,25.0,0.0,0.0,1.0
Calaveras,07/01/20,2.0,0.0,2.0,50.0,2.0,0.0,8.0
San Joaquin,07/01/20,128.0,35.0,163.0,1430.0,37.0,7.0,47.0
Merced,07/01/20,17.0,9.0,26.0,242.0,4.0,2.0,5.0
Napa,07/01/20,7.0,1.0,8.0,397.0,7.0,1.0,41.0
Plumas,07/01/20,0.0,0.0,0.0,45.0,0.0,0.0,nan
Shasta,07/01/20,7.0,1.0,8.0,667.0,2.0,0.0,6.0
Siskiyou,07/01/20,0.0,0.0,0.0,65.0,0.0,0.0,3.0
Kings,07/01/20,40.0,1.0,41.0,199.0,6.0,1.0,3.0
Colusa,07/01/20,0.0,2.0,2.0,88.0,0.0,0.0,6.0
El Dorado,07/01/20,5.0,1.0,6.0,235.0,4.0,1.0,4.0
Tuolumne,07/01/20,3.0,0.0,3.0,151.0,1.0,0.0,0.0
San Luis Obispo,07/01/20,8.0,6.0,14.0,472.0,3.0,1.0,40.0
Santa Barbara,07/01/20,62.0,4.0,66.0,717.0,24.0,0.0,62.0
Santa Clara,07/01/20,82.0,18.0,100.0,3438.0,35.0,5.0,168.0
Santa Cruz,07/01/20,10.0,0.0,10.0,397.0,1.0,0.0,21.0
Lassen,07/01/20,0.0,0.0,0.0,25.0,0.0,0.0,nan
San Francisco,07/01/20,71.0,14.0,85.0,2647.0,31.0,2.0,110.0
San Mateo,07/01/20,45.0,10.0,55.0,1089.0,20.0,1.0,51.0
Lake,07/01/20,3.0,0.0,3.0,110.0,1.0,0.0,1.0
Amador,07/01/20,1.0,1.0,2.0,51.0,1.0,0.0,0.0
Placer,07/01/20,13.0,20.0,33.0,753.0,4.0,1.0,28.0
Nevada,07/01/20,4.0,2.0,6.0,122.0,2.0,0.0,4.0
Yolo,07/01/20,4.0,1.0,5.0,186.0,1.0,1.0,1.0
Mariposa,07/01/20,0.0,0.0,0.0,30.0,0.0,0.0,nan
Imperial,07/01/20,79.0,2.0,81.0,237.0,19.0,0.0,6.0
Madera,07/01/20,15.0,7.0,22.0,528.0,5.0,1.0,17.0
Humboldt,07/01/20,1.0,3.0,4.0,352.0,1.0,1.0,2.0
Del Norte,07/01/20,1.0,0.0,1.0,51.0,0.0,0.0,0.0
Tulare,07/01/20,78.0,5.0,83.0,835.0,15.0,0.0,9.0
Trinity,07/01/20,0.0,0.0,0.0,54.0,0.0,0.0,nan
Riverside,07/01/20,431.0,116.0,547.0,4014.0,123.0,20.0,106.0
Yuba,07/01/20,8.0,1.0,9.0,445.0,2.0,1.0,7.0
Marin,07/01/20,30.0,2.0,32.0,390.0,12.0,0.0,5.0
Inyo,07/01/20,0.0,0.0,0.0,42.0,0.0,0.0,4.0
Mono,07/01/20,0.0,0.0,0.0,40.0,0.0,0.0,2.0
San Bernardino,07/01/20,428.0,88.0,516.0,4564.0,151.0,19.0,95.0
Fresno,07/01/20,125.0,24.0,149.0,2028.0,32.0,5.0,80.0
Tehama,07/01/20,0.0,0.0,0.0,106.0,0.0,0.0,4.0
Modoc,07/01/20,0.0,2.0,2.0,41.0,0.0,0.0,nan
Alameda,07/01/20,123.0,47.0,170.0,2968.0,43.0,12.0,141.0
Contra Costa,07/01/20,50.0,21.0,71.0,1579.0,19.0,7.0,143.0
San Diego,07/01/20,398.0,64.0,462.0,6183.0,159.0,16.0,319.0
Butte,07/01/20,7.0,2.0,9.0,428.0,1.0,2.0,3.0
Sutter,07/01/20,0.0,0.0,0.0,14.0,0.0,0.0,nan
Solano,07/01/20,48.0,9.0,57.0,707.0,13.0,0.0,36.0
Sonoma,07/01/20,13.0,4.0,17.0,871.0,4.0,1.0,51.0
Los Angeles,07/01/20,1937.0,643.0,2580.0,21731.0,537.0,95.0,1092.0
Sacramento,07/01/20,109.0,27.0,136.0,2491.0,31.0,7.0,89.0
Ventura,07/01/20,79.0,38.0,117.0,1328.0,24.0,8.0,47.0
Orange,07/01/20,556.0,149.0,705.0,5725.0,193.0,34.0,346.0
Monterey,07/01/20,41.0,2.0,43.0,824.0,10.0,0.0,81.0
Mendocino,07/01/20,0.0,0.0,0.0,180.0,0.0,0.0,4.0
Kern,07/01/20,164.0,14.0,178.0,1742.0,58.0,0.0,70.0
Glenn,07/01/20,0.0,0.0,0.0,47.0,0.0,0.0,nan
Marin,07/02/20,27.0,3.0,30.0,390.0,8.0,0.0,12.0
Del Norte,07/02/20,1.0,0.0,1.0,51.0,0.0,0.0,1.0
Los Angeles,07/02/20,1933.0,679.0,2612.0,23057.0,546.0,86.0,1153.0
Lake,07/02/20,3.0,1.0,4.0,110.0,1.0,0.0,1.0
Kern,07/02/20,173.0,33.0,206.0,1742.0,56.0,1.0,67.0
Alameda,07/02/20,141.0,52.0,193.0,2968.0,45.0,10.0,129.0
Solano,07/02/20,39.0,9.0,48.0,707.0,13.0,1.0,38.0
San Benito,07/02/20,1.0,0.0,1.0,25.0,0.0,0.0,1.0
San Francisco,07/02/20,66.0,16.0,82.0,2647.0,30.0,1.0,102.0
San Mateo,07/02/20,52.0,4.0,56.0,1089.0,15.0,0.0,49.0
Glenn,07/02/20,0.0,1.0,1.0,47.0,0.0,0.0,nan
El Dorado,07/02/20,3.0,2.0,5.0,235.0,1.0,2.0,7.0
Tehama,07/02/20,0.0,0.0,0.0,106.0,0.0,0.0,1.0
Trinity,07/02/20,0.0,0.0,0.0,54.0,0.0,0.0,nan
Colusa,07/02/20,0.0,2.0,2.0,88.0,0.0,0.0,6.0
Mono,07/02/20,0.0,0.0,0.0,40.0,0.0,0.0,2.0
Santa Barbara,07/02/20,64.0,6.0,70.0,717.0,24.0,1.0,61.0
Madera,07/02/20,17.0,1.0,18.0,528.0,2.0,0.0,21.0
Tuolumne,07/02/20,4.0,0.0,4.0,151.0,1.0,0.0,1.0
Kings,07/02/20,38.0,1.0,39.0,199.0,7.0,1.0,1.0
Sacramento,07/02/20,128.0,21.0,149.0,2492.0,34.0,6.0,82.0
Mendocino,07/02/20,0.0,0.0,0.0,180.0,0.0,0.0,2.0
Calaveras,07/02/20,0.0,3.0,3.0,50.0,0.0,2.0,9.0
Siskiyou,07/02/20,0.0,0.0,0.0,65.0,0.0,0.0,0.0
Stanislaus,07/02/20,133.0,76.0,209.0,1372.0,35.0,13.0,83.0
Orange,07/02/20,584.0,132.0,716.0,6694.0,187.0,21.0,326.0
Yolo,07/02/20,6.0,3.0,9.0,186.0,0.0,0.0,4.0
Contra Costa,07/02/20,56.0,20.0,76.0,1579.0,19.0,5.0,140.0
Butte,07/02/20,9.0,3.0,12.0,428.0,4.0,2.0,3.0
Plumas,07/02/20,0.0,0.0,0.0,45.0,0.0,0.0,nan
Lassen,07/02/20,1.0,0.0,1.0,25.0,0.0,0.0,nan
Shasta,07/02/20,7.0,1.0,8.0,667.0,2.0,0.0,8.0
Modoc,07/02/20,0.0,0.0,0.0,41.0,0.0,0.0,nan
Yuba,07/02/20,8.0,3.0,11.0,445.0,2.0,1.0,16.0
San Bernardino,07/02/20,438.0,91.0,529.0,4793.0,156.0,13.0,85.0
Inyo,07/02/20,0.0,0.0,0.0,42.0,0.0,0.0,3.0
Imperial,07/02/20,86.0,3.0,89.0,237.0,17.0,1.0,6.0
San Diego,07/02/20,380.0,79.0,459.0,6182.0,146.0,13.0,337.0
Santa Cruz,07/02/20,10.0,3.0,13.0,397.0,3.0,0.0,28.0
Monterey,07/02/20,36.0,1.0,37.0,824.0,9.0,1.0,84.0
Santa Clara,07/02/20,91.0,16.0,107.0,3438.0,33.0,2.0,172.0
Ventura,07/02/20,80.0,42.0,122.0,1363.0,28.0,12.0,54.0
San Luis Obispo,07/02/20,8.0,7.0,15.0,475.0,4.0,0.0,40.0
Mariposa,07/02/20,0.0,0.0,0.0,30.0,0.0,0.0,nan
Fresno,07/02/20,128.0,17.0,145.0,2029.0,34.0,1.0,68.0
Humboldt,07/02/20,1.0,0.0,1.0,352.0,1.0,0.0,2.0
Sutter,07/02/20,0.0,0.0,0.0,14.0,0.0,0.0,nan
Amador,07/02/20,1.0,0.0,1.0,51.0,1.0,0.0,0.0
Riverside,07/02/20,465.0,111.0,576.0,4014.0,120.0,17.0,92.0
Nevada,07/02/20,5.0,1.0,6.0,114.0,3.0,0.0,4.0
Napa,07/02/20,7.0,2.0,9.0,397.0,3.0,0.0,43.0
Tulare,07/02/20,77.0,2.0,79.0,835.0,12.0,0.0,23.0
Placer,07/02/20,17.0,22.0,39.0,753.0,4.0,0.0,24.0
Sonoma,07/02/20,12.0,3.0,15.0,871.0,3.0,1.0,50.0
San Joaquin,07/02/20,151.0,42.0,193.0,1430.0,37.0,6.0,54.0
Merced,07/02/20,19.0,4.0,23.0,242.0,4.0,1.0,2.0
Madera,07/03/20,10.0,9.0,19.0,528.0,5.0,1.0,8.0
Contra Costa,07/03/20,54.0,21.0,75.0,1579.0,20.0,3.0,141.0
Stanislaus,07/03/20,137.0,73.0,210.0,1367.0,34.0,8.0,78.0
Alameda,07/03/20,157.0,51.0,208.0,2968.0,46.0,9.0,126.0
Placer,07/03/20,19.0,26.0,45.0,753.0,3.0,0.0,29.0
San Joaquin,07/03/20,165.0,41.0,206.0,1430.0,40.0,4.0,45.0
Marin,07/03/20,28.0,3.0,31.0,392.0,8.0,0.0,11.0
Napa,07/03/20,6.0,2.0,8.0,397.0,4.0,0.0,-6.0
Mendocino,07/03/20,0.0,0.0,0.0,180.0,0.0,0.0,1.0
Imperial,07/03/20,83.0,2.0,85.0,298.0,18.0,0.0,17.0
Los Angeles,07/03/20,1947.0,696.0,2643.0,23965.0,549.0,101.0,1189.0
Santa Barbara,07/03/20,71.0,4.0,75.0,763.0,21.0,1.0,68.0
Sacramento,07/03/20,129.0,15.0,144.0,2486.0,34.0,5.0,80.0
Amador,07/03/20,1.0,0.0,1.0,51.0,1.0,0.0,1.0
Merced,07/03/20,20.0,6.0,26.0,242.0,4.0,1.0,3.0
Santa Cruz,07/03/20,11.0,6.0,17.0,397.0,3.0,0.0,26.0
Mariposa,07/03/20,0.0,0.0,0.0,30.0,0.0,0.0,nan
Fresno,07/03/20,133.0,21.0,154.0,2092.0,37.0,0.0,77.0
Tuolumne,07/03/20,1.0,0.0,1.0,151.0,1.0,0.0,0.0
