Establishment Category,Establishment Details,Establishment Status,Report Date,State,State Status
Entertainment,"Museums, movie theaters; Concert venues; Bowling alleys; Casinos",Open,"July 20, 2020",MT,Reopened
Outdoor and recreation,Gyms,Open,"July 20, 2020",MT,Reopened
Retail,Retail stores,Reopened,"July 20, 2020",MT,Reopened
Food and drink,"Restaurant dining, bars, breweries and distilleries",Reopened,"July 20, 2020",MT,Reopened
Personal care,"Salons, barbershops, massage parlors",Reopened,"July 20, 2020",MT,Reopened
Houses of worship,,Reopened,"July 20, 2020",MT,Reopened
Entertainment,"Museums, movie theaters; Concert venues; Bowling alleys; Casinos",Reopened,"July 20, 2020",MT,Reopened
Outdoor and recreation,Gyms,Reopened,"July 20, 2020",MT,Reopened
Retail,Retail,Open,"July 20, 2020",NE,Reopened
Food and drink,Restaurant dining; Bars,Open,"July 20, 2020",NE,Reopened
Personal care,"Salons, barbershops, tattoo parlors, etc.",Open,"July 20, 2020",NE,Reopened
Houses of worship,,Open,"July 20, 2020",NE,Reopened
Entertainment,"Zoos, movie theaters, libraries and venues",Open,"July 20, 2020",NE,Reopened
Outdoor and recreation,Pools; Gyms,Open,"July 20, 2020",NE,Reopened
Retail,Retail,Reopened,"July 20, 2020",NE,Reopened
Food and drink,Restaurant dining; Bars,Reopened,"July 20, 2020",NE,Reopened
Personal care,"Salons, barbershops, tattoo parlors, etc.",Reopened,"July 20, 2020",NE,Reopened
Houses of worship,,Reopened,"July 20, 2020",NE,Reopened
Entertainment,"Zoos, movie theaters, libraries and venues",Reopened,"July 20, 2020",NE,Reopened
Outdoor and recreation,Pools; Gyms,Reopened,"July 20, 2020",NE,Reopened
Retail,Retail stores,Open,"July 20, 2020",NH,Reopened
Food and drink,Restaurant dining,Open,"July 20, 2020",NH,Reopened
Personal care,"Barbershops, hair salons, etc.; Nail salons; Tanning salons; Tattoo shops; Acupuncturists and massage therapists",Open,"July 20, 2020",NH,Reopened
Houses of worship,,Open,"July 20, 2020",NH,Reopened
Entertainment,"Libraries, museums, art galleries; Bowling alleys and entertainment centers; Movie theaters; Amusement parks; Live performances",Open,"July 20, 2020",NH,Reopened
Outdoor and recreation,Golf courses; Outdoor attractions; Beaches; Gyms; Pools,Open,"July 20, 2020",NH,Reopened
Retail,Retail stores,Reopened,"July 20, 2020",NH,Reopened
Food and drink,Restaurant dining,Reopened,"July 20, 2020",NH,Reopened
Personal care,"Barbershops, hair salons, etc.; Nail salons; Tanning salons; Tattoo shops; Acupuncturists and massage therapists",Reopened,"July 20, 2020",NH,Reopened
Houses of worship,,Reopened,"July 20, 2020",NH,Reopened
Entertainment,"Libraries, museums, art galleries; Bowling alleys and entertainment centers; Movie theaters; Amusement parks; Live performances",Reopened,"July 20, 2020",NH,Reopened
Outdoor and recreation,Golf courses; Outdoor attractions; Beaches; Gyms; Pools,Reopened,"July 20, 2020",NH,Reopened
Retail,Retail,Open,"July 20, 2020",ND,Reopened
Food and drink,"Restaurant dining, bars",Open,"July 20, 2020",ND,Reopened
Personal care,"Salons, tattoo parlors, massage therapy, etc.",Open,"July 20, 2020",ND,Reopened
Houses of worship,,Open,"July 20, 2020",ND,Reopened
Entertainment,Movie theaters; Music and entertainment venues,Open,"July 20, 2020",ND,Reopened
Outdoor and recreation,Gyms; Sports venues,Open,"July 20, 2020",ND,Reopened
Retail,Retail,Reopened,"July 20, 2020",ND,Reopened
Food and drink,"Restaurant dining, bars",Reopened,"July 20, 2020",ND,Reopened
Personal care,"Salons, tattoo parlors, massage therapy, etc.",Reopened,"July 20, 2020",ND,Reopened
Houses of worship,,Reopened,"July 20, 2020",ND,Reopened
Entertainment,Movie theaters; Music and entertainment venues,Reopened,"July 20, 2020",ND,Reopened
Outdoor and recreation,Gyms; Sports venues,Reopened,"July 20, 2020",ND,Reopened
Retail,Retail stores,Open,"July 20, 2020",OK,Reopened
Food and drink,Restaurant dining; Bars,Open,"July 20, 2020",OK,Reopened
Personal care,"Salons, barbershops, spas, pet groomers, etc.; Tattoo parlors",Open,"July 20, 2020",OK,Reopened
Houses of worship,,Open,"July 20, 2020",OK,Reopened
Entertainment,"Movie theaters, sports venues, museums; Nightclubs",Open,"July 20, 2020",OK,Reopened
Outdoor and recreation,State parks; Zoos; Gyms,Open,"July 20, 2020",OK,Reopened
Industries,Offices,Open,"July 20, 2020",OK,Reopened
Retail,Retail stores,Reopened,"July 20, 2020",OK,Reopened
Food and drink,Restaurant dining; Bars,Reopened,"July 20, 2020",OK,Reopened
Personal care,"Salons, barbershops, spas, pet groomers, etc.; Tattoo parlors",Reopened,"July 20, 2020",OK,Reopened
Houses of worship,,Reopened,"July 20, 2020",OK,Reopened
Entertainment,"Movie theaters, sports venues, museums; Nightclubs",Reopened,"July 20, 2020",OK,Reopened
Outdoor and recreation,State parks; Zoos; Gyms,Reopened,"July 20, 2020",OK,Reopened
Industries,Offices,Reopened,"July 20, 2020",OK,Reopened
Retail,Retail stores; Shopping malls,Open,"July 20, 2020",PA,Reopened
Food and drink,Restaurants and bars,Open,"July 20, 2020",PA,Reopened
Personal care,"Hair salons, barbershops, spas",Open,"July 20, 2020",PA,Reopened
Houses of worship,,Open,"July 20, 2020",PA,Reopened
Entertainment,"Casinos, theaters",Open,"July 20, 2020",PA,Reopened
Outdoor and recreation,"Golf courses, marinas, private campgrounds; Beaches; State parks; Public pools; Gyms",Open,"July 20, 2020",PA,Reopened
Retail,Retail stores; Shopping malls,Reopened,"July 20, 2020",PA,Reopened
Food and drink,Restaurants and bars,Reopened,"July 20, 2020",PA,Reopened
Personal care,"Hair salons, barbershops, spas",Reopened,"July 20, 2020",PA,Reopened
Houses of worship,,Reopened,"July 20, 2020",PA,Reopened
Entertainment,"Casinos, theaters",Reopened,"July 20, 2020",PA,Reopened
Outdoor and recreation,"Golf courses, marinas, private campgrounds; Beaches; State parks; Public pools; Gyms",Reopened,"July 20, 2020",PA,Reopened
Retail,Retail stores,Open,"July 20, 2020",SD,Reopened
Food and drink,Restaurant dining,Open,"July 20, 2020",SD,Reopened
Personal care,"Salons, barbershops",Open,"July 20, 2020",SD,Reopened
Houses of worship,,Open,"July 20, 2020",SD,Reopened
Outdoor and recreation,Gyms,Open,"July 20, 2020",SD,Reopened
Retail,Retail stores,Reopened,"July 20, 2020",SD,Reopened
Food and drink,Restaurant dining,Reopened,"July 20, 2020",SD,Reopened
Personal care,"Salons, barbershops",Reopened,"July 20, 2020",SD,Reopened
Houses of worship,,Reopened,"July 20, 2020",SD,Reopened
Outdoor and recreation,Gyms,Reopened,"July 20, 2020",SD,Reopened
Retail,Retail stores,Open,"July 20, 2020",UT,Reopened
Food and drink,Restaurant dining,Open,"July 20, 2020",UT,Reopened
Personal care,"Salons, personal care businesses",Open,"July 20, 2020",UT,Reopened
Houses of worship,,Open,"July 20, 2020",UT,Reopened
Entertainment,"Movie theatres, museums, libraries, concerts",Open,"July 20, 2020",UT,Reopened
Outdoor and recreation,Gyms; Pools,Open,"July 20, 2020",UT,Reopened
Retail,Retail stores,Reopened,"July 20, 2020",UT,Reopened
Food and drink,Restaurant dining,Reopened,"July 20, 2020",UT,Reopened
Personal care,"Salons, personal care businesses",Reopened,"July 20, 2020",UT,Reopened
Houses of worship,,Reopened,"July 20, 2020",UT,Reopened
Entertainment,"Movie theatres, museums, libraries, concerts",Reopened,"July 20, 2020",UT,Reopened
Outdoor and recreation,Gyms; Pools,Reopened,"July 20, 2020",UT,Reopened
Retail,Retail stores,Open,"July 20, 2020",VA,Reopened
Food and drink,Restaurants and bars,Open,"July 20, 2020",VA,Reopened
Personal care,"Salons, barbershops, etc.",Open,"July 20, 2020",VA,Reopened
Houses of worship,,Open,"July 20, 2020",VA,Reopened
Entertainment,"Museums, zoos, aquariums, outdoor concerts",Open,"July 20, 2020",VA,Reopened
Outdoor and recreation,Campgrounds; Beaches; Gyms; Pools,Open,"July 20, 2020",VA,Reopened
Retail,Retail stores,Reopened,"July 20, 2020",VA,Reopened
Food and drink,Restaurants and bars,Reopened,"July 20, 2020",VA,Reopened
Personal care,"Salons, barbershops, etc.",Reopened,"July 20, 2020",VA,Reopened
Houses of worship,,Reopened,"July 20, 2020",VA,Reopened
Entertainment,"Museums, zoos, aquariums, outdoor concerts",Reopened,"July 20, 2020",VA,Reopened
Outdoor and recreation,Campgrounds; Beaches; Gyms; Pools,Reopened,"July 20, 2020",VA,Reopened
Retail,Retail stores; Malls,Open,"July 20, 2020",WV,Reopened
Food and drink,Restaurant dining; Bars,Open,"July 20, 2020",WV,Reopened
Personal care,"Salons, barbershops, pet groomers; Tanning salons; Massage parlors and spas",Open,"July 20, 2020",WV,Reopened
Houses of worship,,Open,"July 20, 2020",WV,Reopened
Entertainment,"Museums, zoos; Bowling alleys, pool halls, roller rinks; Casinos; Movie theaters; Amusement parks, fairs, festivals",Open,"July 20, 2020",WV,Reopened
Outdoor and recreation,"Gyms, recreation centers; State parks, campgrounds; Pools",Open,"July 20, 2020",WV,Reopened
Retail,Retail stores; Malls,Reopened,"July 20, 2020",WV,Reopened
Food and drink,Restaurant dining; Bars,Reopened,"July 20, 2020",WV,Reopened
Personal care,"Salons, barbershops, pet groomers; Tanning salons; Massage parlors and spas",Reopened,"July 20, 2020",WV,Reopened
Houses of worship,,Reopened,"July 20, 2020",WV,Reopened
Entertainment,"Museums, zoos; Bowling alleys, pool halls, roller rinks; Casinos; Movie theaters; Amusement parks, fairs, festivals",Reopened,"July 20, 2020",WV,Reopened
Outdoor and recreation,"Gyms, recreation centers; State parks, campgrounds; Pools",Reopened,"July 20, 2020",WV,Reopened
Retail,Retail stores,Open,"July 20, 2020",WI,Reopened
Food and drink,Restaurants and bars,Open,"July 20, 2020",WI,Reopened
Personal care,"Pet groomers for curbside dropoff; Hair salons, spas, barbershops",Open,"July 20, 2020",WI,Reopened
Houses of worship,,Open,"July 20, 2020",WI,Reopened
Outdoor and recreation,Golf courses; State parks; Gyms,Open,"July 20, 2020",WI,Reopened
Retail,Retail stores,Reopened,"July 20, 2020",WI,Reopened
Food and drink,Restaurants and bars,Reopened,"July 20, 2020",WI,Reopened
Personal care,"Pet groomers for curbside dropoff; Hair salons, spas, barbershops",Reopened,"July 20, 2020",WI,Reopened
Houses of worship,,Reopened,"July 20, 2020",WI,Reopened
Outdoor and recreation,Golf courses; State parks; Gyms,Reopened,"July 20, 2020",WI,Reopened
Retail,Retail stores,Open,"July 20, 2020",DC,Forward
Food and drink,Restaurants dining,Open,"July 20, 2020",DC,Forward
Personal care,"Barbershops, hair salons; Nail salons, waxing salons, spas",Open,"July 20, 2020",DC,Forward
Houses of worship,,Open,"July 20, 2020",DC,Forward
Entertainment,"Museums, libraries",Open,"July 20, 2020",DC,Forward
Outdoor and recreation,"Dog parks, golf courses, tennis courts, parks; Gyms; Pools",Open,"July 20, 2020",DC,Forward
Entertainment,Nightclubs,Closed,"July 20, 2020",DC,Forward
Retail,Retail stores,Reopened,"July 20, 2020",DC,Forward
Food and drink,Restaurants dining,Reopened,"July 20, 2020",DC,Forward
Personal care,"Barbershops, hair salons; Nail salons, waxing salons, spas",Reopened,"July 20, 2020",DC,Forward
Houses of worship,,Reopened,"July 20, 2020",DC,Forward
Entertainment,"Museums, libraries",Reopened,"July 20, 2020",DC,Forward
Outdoor and recreation,"Dog parks, golf courses, tennis courts, parks; Gyms; Pools",Reopened,"July 20, 2020",DC,Forward
Retail,Retail,Open,"July 20, 2020",GA,Forward
Food and drink,Restaurant dining,Open,"July 20, 2020",GA,Forward
Personal care,"Hair salons, barbershops, etc.",Open,"July 20, 2020",GA,Forward
Houses of worship,,Open,"July 20, 2020",GA,Forward
Entertainment,"Bowling alleys; Theaters, private social clubs; Large venues; Bars, nightclubs",Open,"July 20, 2020",GA,Forward
Outdoor and recreation,Gyms,Open,"July 20, 2020",GA,Forward
Retail,Retail,Reopened,"July 20, 2020",GA,Forward
Food and drink,Restaurant dining,Reopened,"July 20, 2020",GA,Forward
Personal care,"Hair salons, barbershops, etc.",Reopened,"July 20, 2020",GA,Forward
Houses of worship,,Reopened,"July 20, 2020",GA,Forward
Entertainment,"Bowling alleys; Theaters, private social clubs; Large venues; Bars, nightclubs",Reopened,"July 20, 2020",GA,Forward
Outdoor and recreation,Gyms,Reopened,"July 20, 2020",GA,Forward
Retail,Retail stores,Open,"July 20, 2020",HI,Forward
Food and drink,Restaurant dining; Bars,Open,"July 20, 2020",HI,Forward
Personal care,Pet groomers; Nail salons in some areas; Tattoo parlors in some areas; Salons and barbershops,Open,"July 20, 2020",HI,Forward
Houses of worship,,Open,"July 20, 2020",HI,Forward
Entertainment,"Arcades, bowling alleys, theaters in some areas",Open,"July 20, 2020",HI,Forward
Outdoor and recreation,"Beaches, piers, docks, etc.; State parks; Pools and waterparks in some areas; Campgrounds in some areas; Gyms",Open,"July 20, 2020",HI,Forward
Industries,Construction in some areas; Offices in some areas,Open,"July 20, 2020",HI,Forward
Retail,Retail stores,Reopened,"July 20, 2020",HI,Forward
Food and drink,Restaurant dining; Bars,Reopened,"July 20, 2020",HI,Forward
Personal care,Pet groomers; Nail salons in some areas; Tattoo parlors in some areas; Salons and barbershops,Reopened,"July 20, 2020",HI,Forward
Houses of worship,,Reopened,"July 20, 2020",HI,Forward
Entertainment,"Arcades, bowling alleys, theaters in some areas",Reopened,"July 20, 2020",HI,Forward
Outdoor and recreation,"Beaches, piers, docks, etc.; State parks; Pools and waterparks in some areas; Campgrounds in some areas; Gyms",Reopened,"July 20, 2020",HI,Forward
Industries,Construction in some areas; Offices in some areas,Reopened,"July 20, 2020",HI,Forward
Retail,Retail stores,Open,"July 20, 2020",IL,Forward
Food and drink,Restaurant dining,Open,"July 20, 2020",IL,Forward
Personal care,"Pet grooming; Hair salons, barber shops, nail salons, spas, waxing centers, tattoo parlors",Open,"July 20, 2020",IL,Forward
Houses of worship,,Open,"July 20, 2020",IL,Forward
Entertainment,"Museums, zoos; Theaters",Open,"July 20, 2020",IL,Forward
Outdoor and recreation,"State parks; limited fishing, boating, golf courses; Gyms",Open,"July 20, 2020",IL,Forward
Industries,Manufacturing; Offices,Open,"July 20, 2020",IL,Forward
Retail,Retail stores,Reopened,"July 20, 2020",IL,Forward
Food and drink,Restaurant dining,Reopened,"July 20, 2020",IL,Forward
Personal care,"Pet grooming; Hair salons, barber shops, nail salons, spas, waxing centers, tattoo parlors",Reopened,"July 20, 2020",IL,Forward
Houses of worship,,Reopened,"July 20, 2020",IL,Forward
Entertainment,"Museums, zoos; Theaters",Reopened,"July 20, 2020",IL,Forward
Outdoor and recreation,"State parks; limited fishing, boating, golf courses; Gyms",Reopened,"July 20, 2020",IL,Forward
Industries,Manufacturing; Offices,Reopened,"July 20, 2020",IL,Forward
Retail,Retail stores,Open,"July 20, 2020",ME,Forward
Food and drink,Restaurants; Bars open for outdoor service,Open,"July 20, 2020",ME,Forward
Personal care,"Hair salons, barbershops, pet groomers; Nail salons and tattoo parlors; Spas and massage parlors",Open,"July 20, 2020",ME,Forward
Houses of worship,,Open,"July 20, 2020",ME,Forward
Entertainment,"Amusement parks, water parks; Bowling alleys and arcades; Movie theaters; Performing arts venues; Casinos",Open,"July 20, 2020",ME,Forward
Outdoor and recreation,"State parks, boating, golf courses; Remote campgrounds, hunting and fishing; Private campgrounds, RV parks; Gyms",Open,"July 20, 2020",ME,Forward
Food and drink,Bars for indoor service,Closed,"July 20, 2020",ME,Forward
Retail,Retail stores,Reopened,"July 20, 2020",ME,Forward
Food and drink,Restaurants; Bars open for outdoor service,Reopened,"July 20, 2020",ME,Forward
Personal care,"Hair salons, barbershops, pet groomers; Nail salons and tattoo parlors; Spas and massage parlors",Reopened,"July 20, 2020",ME,Forward
Houses of worship,,Reopened,"July 20, 2020",ME,Forward
Entertainment,"Amusement parks, water parks; Bowling alleys and arcades; Movie theaters; Performing arts venues; Casinos",Reopened,"July 20, 2020",ME,Forward
Outdoor and recreation,"State parks, boating, golf courses; Remote campgrounds, hunting and fishing; Private campgrounds, RV parks; Gyms",Reopened,"July 20, 2020",ME,Forward
Retail,Retail stores; Malls,Open,"July 20, 2020",MD,Forward
Food and drink,"Outdoor service at breweries, wineries, and distilleries; Restaurants; Bars",Open,"July 20, 2020",MD,Forward
Personal care,"Hair salons, barbershops; Nail salons, massage parlors, tanning salons, tattoo parlors",Open,"July 20, 2020",MD,Forward
Houses of worship,,Open,"July 20, 2020",MD,Forward
Entertainment,Casinos,Open,"July 20, 2020",MD,Forward
Outdoor and recreation,"Golf courses, outdoor shooting ranges, marinas, campgrounds; Beaches; Outdoor pools and day camps; Gyms",Open,"July 20, 2020",MD,Forward
Industries,"Manufacturing; Construction, offices",Open,"July 20, 2020",MD,Forward
Entertainment,Theaters,Closed,"July 20, 2020",MD,Forward
Retail,Retail stores; Malls,Reopened,"July 20, 2020",MD,Forward
Food and drink,"Outdoor service at breweries, wineries, and distilleries; Restaurants; Bars",Reopened,"July 20, 2020",MD,Forward
Personal care,"Hair salons, barbershops; Nail salons, massage parlors, tanning salons, tattoo parlors",Reopened,"July 20, 2020",MD,Forward
Houses of worship,,Reopened,"July 20, 2020",MD,Forward
Entertainment,Casinos,Reopened,"July 20, 2020",MD,Forward
Outdoor and recreation,"Golf courses, outdoor shooting ranges, marinas, campgrounds; Beaches; Outdoor pools and day camps; Gyms",Reopened,"July 20, 2020",MD,Forward
Industries,"Manufacturing; Construction, offices",Reopened,"July 20, 2020",MD,Forward
Retail,Retail stores,Open,"July 20, 2020",MA,Forward
Food and drink,Restaurant dining,Open,"July 20, 2020",MA,Forward
Personal care,"Hair salons, barbershops; Pet grooming; Nail salons, massage parlors, tanning salons",Open,"July 20, 2020",MA,Forward
Houses of worship,,Open,"July 20, 2020",MA,Forward
Entertainment,"Bowling alleys; Museums, aquariums; Theaters and performance venues; Movie theaters; Casinos",Open,"July 20, 2020",MA,Forward
Outdoor and recreation,"Golf courses; Beaches, parks, fishing, hunting and boating; Gyms",Open,"July 20, 2020",MA,Forward
Industries,"Construction, manufacturing; Offices; Hotels, lodging",Open,"July 20, 2020",MA,Forward
Food and drink,Bars,Closed,"July 20, 2020",MA,Forward
Entertainment,"Ballrooms, stadiums and convention halls",Closed,"July 20, 2020",MA,Forward
Retail,Retail stores,Reopened,"July 20, 2020",MA,Forward
Food and drink,Restaurant dining,Reopened,"July 20, 2020",MA,Forward
Personal care,"Hair salons, barbershops; Pet grooming; Nail salons, massage parlors, tanning salons",Reopened,"July 20, 2020",MA,Forward
Houses of worship,,Reopened,"July 20, 2020",MA,Forward
Entertainment,"Bowling alleys; Museums, aquariums; Theaters and performance venues; Movie theaters; Casinos",Reopened,"July 20, 2020",MA,Forward
Outdoor and recreation,"Golf courses; Beaches, parks, fishing, hunting and boating; Gyms",Reopened,"July 20, 2020",MA,Forward
Industries,"Construction, manufacturing; Offices; Hotels, lodging",Reopened,"July 20, 2020",MA,Forward
Retail,Retail stores; Malls in some regions,Open,"July 20, 2020",NY,Forward
Food and drink,Outdoor dining at restaurants in some regions; Indoor dining in some regions,Open,"July 20, 2020",NY,Forward
Personal care,"Hair salons, barbershops; Tattoo parlors, massage parlors, nail salons",Open,"July 20, 2020",NY,Forward
Houses of worship,,Open,"July 20, 2020",NY,Forward
Entertainment,Museums and aquariums in some regions,Open,"July 20, 2020",NY,Forward
Outdoor and recreation,"Beaches; Fishing and hunting; Public pools and playgrounds; Outdoor zoos, botanical gardens and nature parks",Open,"July 20, 2020",NY,Forward
Industries,"Construction, manufacturing; Offices; Film and TV production",Open,"July 20, 2020",NY,Forward
Entertainment,"Movie theaters, casinos; Amusement parks, bowling alleys",Closed,"July 20, 2020",NY,Forward
Outdoor and recreation,Gyms,Closed,"July 20, 2020",NY,Forward
Retail,Retail stores; Malls in some regions,Reopened,"July 20, 2020",NY,Forward
Food and drink,Outdoor dining at restaurants in some regions; Indoor dining in some regions,Reopened,"July 20, 2020",NY,Forward
Personal care,"Hair salons, barbershops; Tattoo parlors, massage parlors, nail salons",Reopened,"July 20, 2020",NY,Forward
Houses of worship,,Reopened,"July 20, 2020",NY,Forward
Entertainment,Museums and aquariums in some regions,Reopened,"July 20, 2020",NY,Forward
Outdoor and recreation,"Beaches; Fishing and hunting; Public pools and playgrounds; Outdoor zoos, botanical gardens and nature parks",Reopened,"July 20, 2020",NY,Forward
Industries,"Construction, manufacturing; Offices; Film and TV production",Reopened,"July 20, 2020",NY,Forward
Retail,Retail stores,Open,"July 20, 2020",OH,Forward
Food and drink,Restaurant dining and bars,Open,"July 20, 2020",OH,Forward
Personal care,"Salons, barbershops, etc.",Open,"July 20, 2020",OH,Forward
Houses of worship,,Open,"July 20, 2020",OH,Forward
Entertainment,"Movie theaters, museums, art galleries; Casinos, racinos, amusement parks, water parks",Open,"July 20, 2020",OH,Forward
